col,kld1,kld2,kst,overlap
mean,2.918157362133113,1.4008198545714117,0.4651567944250871,0.5993477184153714
std,1.9274835257922294,1.3506884070075478,0.25631996441544963,0.7893244566057203
0.1,2.9193453684881514,1.6374751004059962,0.5063384980354363,0.5297441129828713
0.25,2.823202919997356,1.4139600511080688,0.497257024241975,0.5306040840637956
0.5,3.0432704936515145,1.442600668981375,0.497257024241975,0.5185437372176132
0.75,3.1593864050367744,1.6428698605194891,0.5155636073837943,0.5259976695236095
0.9,3.2249539159026783,1.926980364346275,0.5170787308177033,0.5407469257141357
centroid_distance_n_clusters_10,0.680703279946114,0.6543432797324893,0.21486025650530063,0.7984488829942269
cluster_proportion_n_clusters_10,1.3519201096579352,1.1230446170603923,0.2691174290162355,0.7371192948441755
iterations_k_n_clusters_10,0.2677035323532797,0.21498780164956618,0.11178552894951445,0.8905593713890112
wcv_ratio_n_clusters_10,0.9846895290482476,1.1263039634096679,0.07988916895247979,0.8767880565562295
centroid_distance_n_clusters_20,0.5602348488247216,0.4233785499922822,0.208554192304841,0.8117017980234806
cluster_proportion_n_clusters_20,1.2124087240186159,0.958152029019511,0.2691498628512121,0.7729634673873982
iterations_k_n_clusters_20,0.15719149085957282,0.17751983954454273,0.12172881607235528,0.8860125393043193
wcv_ratio_n_clusters_20,1.1301845789041807,0.8503979524025634,0.0805285788420194,0.9254917202732562
centroid_distance_n_clusters_50,0.7905919922142529,0.7508306894070474,0.22197716658017647,0.783459422649939
cluster_proportion_n_clusters_50,1.210029319794804,1.135782997310042,0.23224942545778043,0.8235211450279183
iterations_k_n_clusters_50,0.12175947127861428,0.18491939284615044,0.06835662391578325,0.931873461946956
wcv_ratio_n_clusters_50,1.0159694309746121,0.7769932538353124,0.07167877529839127,0.9255374185256885
centroid_distance_n_clusters_100,0.6512684567558357,0.669838013070007,0.18951553117354883,0.9136554895564085
cluster_proportion_n_clusters_100,1.1352942722565,0.9107007386067281,0.22929331306990883,0.8574676327490031
iterations_k_n_clusters_100,0.11765780686639007,0.23206748964235982,0.05732912002372307,0.9258531128210125
wcv_ratio_n_clusters_100,1.080483607496557,0.793913123830576,0.0930990065979687,0.8927856421266723
centroid_distance_n_clusters_500,1.1576507884332021,0.9973896456167171,0.2753864259767218,0.7475048939986875
cluster_proportion_n_clusters_500,0.9375157545959327,0.6575558142089599,0.21733912817851583,0.9431234408285716
iterations_k_n_clusters_500,0.23380318664577074,0.10146570467159186,0.09374304989250502,0.8969612324241639
wcv_ratio_n_clusters_500,0.534601821491292,0.3443044851311262,0.1318203721550893,0.8572301267063349
centroid_distance_n_points_per_cluster_10,1.2368869640511666,0.6686317699737631,0.3632450515234636,0.6696764159591057
