col,kld1,kld2,kst,overlap
mean,3.201477525296513,1.6630768708296924,0.432323400554237,0.6184521497993993
std,1.7954530409805136,1.281636062660974,0.264988225932557,0.7789114688548693
0.1,2.9668838808206295,1.5246928781763764,0.5207283729580435,0.5002224602202819
0.25,3.1208092820983664,1.6420442394163421,0.5359467599339357,0.48167029114957993
0.5,3.178781654965422,1.4557096227474042,0.5420373531711333,0.47139057846458937
0.75,3.421038598695635,1.6834138589498002,0.5343044047503388,0.49753884610898713
0.9,3.387503819361209,1.6784380851657639,0.4917350210267727,0.5865310481334519
centroid_distance_n_clusters_10,0.9663067995858992,0.9207672691793162,0.2149519090644127,0.8092507405446571
cluster_proportion_n_clusters_10,0.9194070752416,0.8592409630472511,0.2060785647203601,0.8149491004725625
iterations_k_n_clusters_10,0.09906275477700484,0.14372660958846303,0.1181246616979639,0.8992649926194112
wcv_ratio_n_clusters_10,1.2593480841671363,1.0885202615624667,0.06484064528366483,0.9098142876508749
centroid_distance_n_clusters_20,0.5693966414768077,0.6456547322591497,0.271347147622286,0.751109277529175
cluster_proportion_n_clusters_20,0.9901321103857311,0.8939348267385269,0.24110930683358545,0.77655242549499
iterations_k_n_clusters_20,0.1438855568528487,0.2016020849973065,0.14196425679958175,0.8648601560108424
wcv_ratio_n_clusters_20,1.296345098052504,1.2127374298691556,0.09080373624238387,0.8872107759073135
centroid_distance_n_clusters_50,1.041401073792719,1.0145319347228698,0.3033430024103297,0.7185308782915099
cluster_proportion_n_clusters_50,1.5587114825524337,1.1315659432399965,0.2909559432439059,0.7760061440522089
iterations_k_n_clusters_50,0.15986357058434672,0.18865109138472566,0.18176014212155275,0.832197687719561
wcv_ratio_n_clusters_50,0.9115425308525588,0.8012735470551795,0.0998922059837245,0.8862815582251719
centroid_distance_n_clusters_100,1.180280475509407,1.2801807377386136,0.21655262707434084,0.8661816126624784
cluster_proportion_n_clusters_100,1.4108073562989092,1.0815340490894492,0.272614768242865,0.8919675675673149
iterations_k_n_clusters_100,0.14169371166162564,0.2474125073653492,0.12060669988387852,0.8887259507971866
wcv_ratio_n_clusters_100,1.0109430895463942,0.9330227721579347,0.07075312394461333,0.9388183993667722
centroid_distance_n_clusters_500,1.532164115918275,1.3811975202489057,0.2240681369215324,0.8143951397923941
cluster_proportion_n_clusters_500,1.3826724162218653,0.934120968217668,0.3045620463282952,0.9066905998499469
iterations_k_n_clusters_500,0.20292763675354503,0.17113761521785556,0.17066152216254227,0.8548847262906246
wcv_ratio_n_clusters_500,0.7953197387159826,0.4965335340883087,0.1467710371819961,0.8588278989702187
centroid_distance_n_points_per_cluster_10,1.202208560364298,1.0158092953962397,0.29728016728891105,0.7231864009606587
cluster_proportion_n_points_per_cluster_10,0.9672167019909462,0.8826611105597065,0.1283997908888611,0.9847916813860061
iterations_k_n_points_per_cluster_10,0.11930361396298787,0.11308601999472594,0.19965718727012807,0.6825723714322915
wcv_ratio_n_points_per_cluster_10,0.43282996876030305,0.2103495460561868,0.19689062839747773,0.8281258524388923
centroid_distance_n_points_per_cluster_30,2.0475158229161603,1.8774133322632538,0.354862065296341,0.6888213171981091
cluster_proportion_n_points_per_cluster_30,1.0435220648697043,1.172351013234133,0.18167455459790052,0.9789031088143771
iterations_k_n_points_per_cluster_30,0.22286354454220947,0.20213087266014806,0.2514075677876319,0.7688490475141825
wcv_ratio_n_points_per_cluster_30,0.3178242463528638,0.06870887990444192,0.24698246149718026,0.8069653376301483
centroid_distance_n_points_per_cluster_100,1.38568425628029,1.4316204211347414,0.23334166076806703,0.8010036768245182
cluster_proportion_n_points_per_cluster_100,0.931854358640017,0.8534937267848307,0.15608619820219932,0.9664986204390922
iterations_k_n_points_per_cluster_100,0.15157762331966254,0.1403557762594097,0.15393263105300412,0.8645352507695683
wcv_ratio_n_points_per_cluster_100,0.7454305113536418,0.4862084324119956,0.16342359347314173,0.8486604407972951
centroid_distance_n_points_per_cluster_1000,1.0827091965074045,0.9366597063569525,0.3032458490051028,0.7177705184055913
cluster_proportion_n_points_per_cluster_1000,1.456790614531409,1.2741410056853089,0.1995091439859729,0.8373542675087036
iterations_k_n_points_per_cluster_1000,0.22478982831305902,0.19670322444296154,0.15445540890017714,0.85434462674239
wcv_ratio_n_points_per_cluster_1000,1.0321056437310985,0.8967737300511122,0.0860177744468039,0.9032252234895645
q_pct_threshold_1,3.0409759656698125,1.8783828009120953,0.5283225307999426,0.47533632114633884
k_pct_threshold_1,2.9378942964500845,1.674774706232632,0.5251974295984789,0.47498428650539676
q_pct_threshold_2,3.2367878595727113,1.8865956622325002,0.5481140673504415,0.4689929204621619
k_pct_threshold_2,3.1333158617975854,2.0972631112735027,0.5313088414225109,0.47127931571678705
q_pct_threshold_3,3.1486343150629468,1.787448331738666,0.5450861195542047,0.46768409994628724
k_pct_threshold_3,3.2646421207954104,2.419909931177105,0.546497157106309,0.4687511615304641
q_pct_threshold_5,3.4839614834512016,2.222444679723524,0.5359236281707864,0.47625601745860613
k_pct_threshold_5,3.5874642436385984,2.237821081365778,0.5556411430792078,0.46972276263470775
q_pct_threshold_10,3.2385843331553827,1.6451174394345653,0.485644427789575,0.5589082414377453
k_pct_threshold_10,3.5518511700218287,2.156238760674036,0.5373439184281504,0.5260012373531227
peak_value,1.9027706998319143,1.3502725713533088,0.49819109612172857,0.5317057579100061
MSE,0.941263649269935,0.8959077828875156,0.10999616012731721,0.9007463552889011
SSIM,0.8886441732619231,0.7927374769426588,0.30773572423237244,0.7333117626346204
