col,kld1,kld2,kst,overlap
mean,6.085024421409931,5.184811247810217,0.8366013071895425,0.20620203882080168
std,2.5189279577760617,2.537287674274971,0.36601307189542487,0.6704152302949087
0.1,6.229208685320927,5.640271635728365,0.8758169934640523,0.1484356635536387
0.25,6.72895691941562,6.003520949160365,0.9084967320261438,0.11615393815991233
0.5,6.90159169687125,5.778404038366685,0.9183006535947713,0.1009124924439348
0.75,7.444658175081044,5.996158230679481,0.9248366013071896,0.09915259062281429
0.9,7.117405459862729,5.966778633938633,0.9183006535947713,0.10619242549199923
centroid_distance_n_clusters_10,2.222746299293766,2.25268164763636,0.10784313725490197,0.8927768095812156
cluster_proportion_n_clusters_10,2.1102059878172414,2.0416279038689273,0.10457516339869281,0.9184607503958849
iterations_k_n_clusters_10,0.27161526435130035,0.2400071543946184,0.04575163398692811,0.931147957458083
wcv_ratio_n_clusters_10,2.173781583788667,2.120256763563777,0.05228758169934641,0.9454997753087735
centroid_distance_n_clusters_20,2.226537610517056,2.127329446278107,0.19281045751633988,0.8442713659190917
cluster_proportion_n_clusters_20,2.1098318514706236,1.9915139787150307,0.06535947712418301,0.9589422289468184
iterations_k_n_clusters_20,0.1864633286396776,0.22487072995598317,0.07189542483660132,0.9386105184353067
wcv_ratio_n_clusters_20,1.7929135397513,2.175904551196008,0.11764705882352941,0.8669359575311328
centroid_distance_n_clusters_50,1.0212270712987677,0.9938332154218545,0.2973856209150327,0.7067212369012181
cluster_proportion_n_clusters_50,1.9130274532651934,1.6514144538720323,0.1503267973856209,0.8856371382274871
iterations_k_n_clusters_50,0.2693019380898696,0.39214936548865253,0.12745098039215685,0.8795347572090089
wcv_ratio_n_clusters_50,1.2546788973278429,1.235759484376804,0.07189542483660132,0.9349891060783128
centroid_distance_n_clusters_100,2.48644678768337,2.619021142948963,0.22549019607843138,0.8134085565614395
cluster_proportion_n_clusters_100,1.7014653192180185,1.769628460426566,0.13725490196078433,0.9411190717126496
iterations_k_n_clusters_100,0.1995956213064508,0.1528160947951564,0.12091503267973856,0.88979251965397
wcv_ratio_n_clusters_100,0.5721127622603115,0.6477904140644664,0.10457516339869281,0.8860781947481964
centroid_distance_n_clusters_500,2.741915814626519,2.8528127924462314,0.35947712418300654,0.6651177876088836
cluster_proportion_n_clusters_500,1.9488242963920719,1.632469987568811,0.23529411764705882,0.9591004669393473
iterations_k_n_clusters_500,0.17658500942607566,0.1860593864608204,0.17647058823529413,0.8167677139710372
wcv_ratio_n_clusters_500,0,0.01891941295103872,0.16339869281045752,0.8622197838002587
centroid_distance_n_clusters_1000,3.3428088932147846,3.493628148176574,0.5718954248366013,0.4637295500938233
cluster_proportion_n_clusters_1000,1.962052165579392,1.7467107710352328,0.31699346405228757,0.9542935790993973
iterations_k_n_clusters_1000,0.25087573595974333,0.14933380005235028,0.16993464052287582,0.8270938480652051
wcv_ratio_n_clusters_1000,0,0.01891941295103872,0.17973856209150327,0.8476798625391185
centroid_distance_n_points_per_cluster_10,3.1673632587181397,2.7103165357113315,0.5686274509803921,0.47370168590234685
cluster_proportion_n_points_per_cluster_10,1.7076140201825936,1.618977199233118,0.20915032679738563,0.9778143150213672
iterations_k_n_points_per_cluster_10,0.12060606879241456,0.11859909136977953,0.12091503267973856,0.88427590465805606
wcv_ratio_n_points_per_cluster_10,0.01891941295103872,0,0.16339869281045752,0.8572957850610154
centroid_distance_n_points_per_cluster_30,2.3969084634432227,2.5064111364150454,0.4150326797385621,0.6129281838160948
cluster_proportion_n_points_per_cluster_30,1.9794437018381779,1.67379975311619,0.20915032679738563,0.9759289597631873
iterations_k_n_points_per_cluster_30,0.1905277496431094,0.16369160375872896,0.17647058823529413,0.8216545853041296
wcv_ratio_n_points_per_cluster_30,0,0.01891941295103872,0.17647058823529413,0.8468591076914378
centroid_distance_n_points_per_cluster_100,2.7559043302990593,2.634839833109026,0.21568627450980393,0.8123424685569044
cluster_proportion_n_points_per_cluster_100,1.926078366110072,2.0055572641843327,0.17320261437908496,0.9616789952114607
iterations_k_n_points_per_cluster_100,0.12464285924888904,0.2419415246230393,0.09803921568627451,0.9044903963697873
wcv_ratio_n_points_per_cluster_100,0.35946884606973567,0.5910321752113502,0.10457516339869281,0.8816890402522013
centroid_distance_n_points_per_cluster_1000,2.21877142141462,2.254915902837608,0.21241830065359477,0.8118963219603639
cluster_proportion_n_points_per_cluster_1000,1.87680326848492,1.6852899884746113,0.09477124183006536,0.9407200288012391
iterations_k_n_points_per_cluster_1000,0.24293757914853267,0.22292856658126348,0.10784313725490197,0.9008623167886848
wcv_ratio_n_points_per_cluster_1000,1.9131392588159286,1.933185601460732,0.08496732026143791,0.9021866365509535
q_pct_threshold_1,6.106937599664881,5.876231669953472,0.8986928104575164,0.12011313999256816
k_pct_threshold_1,5.166265899342953,4.943428599793717,0.7843137254901961,0.24908915224243156
q_pct_threshold_2,6.2769158696785725,5.888171054850131,0.9150326797385622,0.10041505672946463
k_pct_threshold_2,5.181886089903466,4.65930311837796,0.7810457516339869,0.2527648978345643
q_pct_threshold_3,6.470918337141803,5.7678550995188935,0.9183006535947713,0.09537682526903617
k_pct_threshold_3,5.308951629282956,5.098708341587194,0.7745098039215687,0.2627320757259237
q_pct_threshold_5,6.724280339473006,5.982271282560209,0.9215686274509804,0.09445283222109378
k_pct_threshold_5,5.190680450894093,4.817352171104123,0.7679738562091504,0.2656792148665641
q_pct_threshold_10,7.15267601922946,6.000122723232439,0.9183006535947713,0.11091656471559216
