col,kld1,kld2,kst,overlap
mean,2.481917087781496,1.1135198673136055,0.48564442778957495,0.5609121778491722
std,1.1026428721087265,0.7287470479304909,0.25754442455112814,0.7770052395188188
0.1,3.8707560730662216,2.0672200121209925,0.5982914879737963,0.421950589159406
0.25,3.778580812293068,1.9838006348500898,0.6135330067128376,0.4187502649985218
0.5,3.3455015340420045,1.7342596749252017,0.6135468857707271,0.4222581401094032
0.75,3.324208634108661,1.5610855472704885,0.5922147737944882,0.44762230470069575
0.9,2.687987190796465,1.5863855089019707,0.5541352652981916,0.4943664068128624
centroid_distance_n_clusters_10,1.0189822423787853,1.0390729375204757,0.3031672010103954,0.7205310088252574
cluster_proportion_n_clusters_10,1.1550411470947803,1.2621038871620787,0.2821103570156324,0.7410812637191333
iterations_k_n_clusters_10,0.295007464657131,0.29946033044649806,0.19680041452119562,0.8097365271933631
wcv_ratio_n_clusters_10,1.3261921151122593,0.9078943156263909,0.16064546871891672,0.8389700650263839
centroid_distance_n_clusters_20,0.9409582974724596,0.844839249287934,0.3231692366055525,0.6881023364180046
cluster_proportion_n_clusters_20,1.342059425499258,1.435281803256259,0.3291395446743741,0.7124192132358071
iterations_k_n_clusters_20,0.2783437414623483,0.2865319738956719,0.23777139341114856,0.7889764811721741
wcv_ratio_n_clusters_20,1.1658650771611154,0.8307066964880465,0.15769848209370216,0.8410942868333844
centroid_distance_n_clusters_50,1.0211622916903478,1.0801726031674692,0.28963280639176875,0.7199586117024056
cluster_proportion_n_clusters_50,1.7813873871379418,1.535310997660904,0.3517832276211757,0.7102301990113634
iterations_k_n_clusters_50,0.21290473313877645,0.28492905990209005,0.13500159609165727,0.8599234632691187
wcv_ratio_n_clusters_50,0.9490116965910352,0.565287816848242,0.20317552844512915,0.7946150039469152
centroid_distance_n_clusters_100,1.1528005259211764,1.1071983598058013,0.16451078634115648,0.922827878152398
cluster_proportion_n_clusters_100,1.632744994963812,1.3498120604046189,0.3913663007221736,0.878941547372529
iterations_k_n_clusters_100,0.17643044046542677,0.3601625537538166,0.16774692000573665,0.8560204486350848
wcv_ratio_n_clusters_100,0.8926762984120926,0.4797364219010945,0.21975868944682703,0.7651184479125999
centroid_distance_n_clusters_500,1.1969396098417295,1.4377687107987702,0.25008674411180964,0.7634755124098089
cluster_proportion_n_clusters_500,1.3137770146101169,1.406365391172457,0.4357260829134918,0.9260025987855357
iterations_k_n_clusters_500,0.27386330614452553,0.338892376447828,0.22719092494668125,0.8016159244928266
wcv_ratio_n_clusters_500,0.16827292514868125,0.055550665800356024,0.29568638880792775,0.7016322896093943
centroid_distance_n_points_per_cluster_10,1.095913424109965,1.2569885429746406,0.27298025010062316,0.7536274084308262
cluster_proportion_n_points_per_cluster_10,0.827794351407905,0.9766463883501999,0.19713582508685973,0.8848750245389994
iterations_k_n_points_per_cluster_10,0.37884170348041585,0.3929048178516327,0.28993583248902394,0.562598571744872
wcv_ratio_n_points_per_cluster_10,0.13213911560331112,0.10688767092861515,0.3353943734299316,0.6679367746355044
centroid_distance_n_points_per_cluster_30,1.1322897580259093,1.4803127501685063,0.2957419050394859,0.7264755453230929
cluster_proportion_n_points_per_cluster_30,1.6640481386686279,1.6039187432056399,0.2959431513788844,0.9225083515255199
iterations_k_n_points_per_cluster_30,0.31069232224572296,0.4295558013352217,0.26535139461400026,0.7328413427562273
wcv_ratio_n_points_per_cluster_30,0.06119015459952047,0.038174168188791116,0.3277446993564744,0.6748866522283595
centroid_distance_n_points_per_cluster_100,1.3503702284549108,1.2942213854088906,0.15148297733549843,0.8740356458609865
cluster_proportion_n_points_per_cluster_100,1.1343404362137643,1.23351848336152,0.2730658376242754,0.8770886433717875
iterations_k_n_points_per_cluster_100,0.2707922203213185,0.34423875944506244,0.18291441710270037,0.8224565424110672
wcv_ratio_n_points_per_cluster_100,0.5000945715511207,0.35829493411304436,0.2745763417579215,0.7274820444229626
centroid_distance_n_points_per_cluster_1000,0.9342864969807239,0.8721473498272778,0.3124337853279852,0.6978322863713703
cluster_proportion_n_points_per_cluster_1000,1.0096134479994403,0.8981035999976587,0.23505803759374144,0.7773478464619792
iterations_k_n_points_per_cluster_1000,0.17859383822756006,0.2561081471884725,0.1666180899640532,0.8393091849399021
wcv_ratio_n_points_per_cluster_1000,1.1828664549309382,0.8354221660475613,0.16985884998126327,0.834936608392528
q_pct_threshold_1,3.541219322876336,2.2903339058178336,0.6104842403297664,0.3974873776547209
k_pct_threshold_1,3.786637725627414,2.8843362098269365,0.6485244248287093,0.3673164351915543
q_pct_threshold_2,3.638227775877836,2.42551255546009,0.6195912154816264,0.39722140549852214
k_pct_threshold_2,3.833926063465959,2.9770481449085104,0.6530929480506863,0.36524018949706405
q_pct_threshold_3,3.662181445535361,2.6505855605143185,0.6195889023053115,0.4034028744836847
k_pct_threshold_3,3.9465109775872302,3.098097211810773,0.6500858188412837,0.3679545777674493
q_pct_threshold_5,3.803140785612422,2.6982246284595037,0.6028345662563092,0.42214434372072507
k_pct_threshold_5,3.996200700416359,3.2510232816527047,0.633375433142265,0.37823344797167385
q_pct_threshold_10,3.19905955765338,2.6205164931568588,0.5480516115899386,0.48003701787482084
k_pct_threshold_10,3.561865443521619,2.6590457280096493,0.6287629595703044,0.401937322199363
peak_value,2.289495871226761,1.9665713871358401,0.525627680393055,0.5171836159363942
MSE,0.9304577632902512,1.0097296587619742,0.07481737472993666,0.9543392071870093
SSIM,0.5415292142628024,0.4956419109495506,0.18277793970011985,0.8775834956113223
