Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
TOE,0.8444,0.945,0.732,0.825,0.844,0.732,0.957
HEEL,0.7471,0.694,0.883,0.777,0.747,0.883,0.611
INSIDE,0.8521,0.913,0.778,0.84,0.852,0.778,0.926
OUTSIDE,0.8677,0.899,0.829,0.862,0.868,0.829,0.907
