Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
TOE,0.8735,0.949,0.79,0.862,0.874,0.79,0.957
HEEL,0.8735,0.9,0.84,0.869,0.874,0.84,0.907
INSIDE,0.751,0.864,0.595,0.705,0.751,0.595,0.907
OUTSIDE,0.8074,0.895,0.696,0.783,0.807,0.696,0.918
