Similarity Metric,BASELINE,BLURRY_02,BLURRY_04,BLURRY_06,BLURRY_08,BLURRY_10,DIFF_TIME_1VS2,DIFF_TIME_1VS3,TOE,HEEL,INSIDE,OUTSIDE,OOD
q_points_count,0.0,1.7292896051408715,1.7743436189889925,1.7781660300558062,1.760836001686227,1.7400530675147001,0.20140544037350322,0.35364263763382625,1.472458723449761,1.6207067121716976,1.6647853821482257,1.3899429011845728,0.8064654372601416
k_points_count,0.0,1.156585950647743,1.156585950647743,1.156585950647743,1.156585950647743,1.156585950647743,0.1599264613774488,0.4404994484556965,1.4812550668520506,1.5675013852252406,1.5713412920372185,1.3829427311153168,0.7910929121550957
mean,0.0,0.4561812962471294,0.4025072560716679,0.4760697688324935,0.5208163132590117,0.4687266379190029,0.1213131626567388,0.18753692088723678,0.1800815956713719,0.3086016174630157,0.4221226087335343,0.21286940861559403,0.7909665922368638
std,0.0,0.4631173437819346,0.45700343161329593,0.4847509212188227,0.497244008222094,0.4387845585744887,0.10324105361205169,0.1797566916521696,0.18597435220197978,0.4331607496803077,0.11651933236385062,0.49860000075560973,0.9917812054245008
0.1,0.0,0.8675623720947626,1.147900145539527,1.2269096675245548,1.369684340370314,1.3749818566073633,0.13042398673505856,0.33128174917636866,0.49767620413398095,0.47021575293435475,0.8453463621686663,0.37780330193288825,1.140058000314582
0.25,0.0,1.0239577273934766,1.239819126309678,1.326706182030365,1.4639311258796393,1.4634994255770413,0.09948823714400863,0.37072205518121093,0.5160944533852991,0.4837652435378863,0.8623945273828296,0.35304683814259985,1.1613638593336058
0.5,0.0,0.8370273300191091,0.9842562147370333,1.2088519076790711,1.3665843692921036,1.2206950195178603,0.11610738969841108,0.33803981739927685,0.5294794752061797,0.4809889779366575,0.7483392577617989,0.40026455866040583,1.0977403933055396
0.75,0.0,0.39002357125996884,0.5568710613996434,0.7768124787996226,1.0144028479699667,1.0992405569320196,0.14708281294640313,0.21156282098604945,0.5027761353966309,0.45206655943815366,0.653176714789213,0.43700450588505263,0.8631932435483113
0.9,0.0,0.4062518363024828,0.3745934455487545,0.4660117033633119,0.5005767518126562,0.5204589152286798,0.1118153610735461,0.12851972935589256,0.16819240844998018,0.2657939501411481,0.3178280106954359,0.22402726317144003,0.429708110862566
centroid_distance_n_clusters_20,0.0,0.20009733006509894,0.48397181094578207,0.8255885616463057,0.8489301429942597,0.9044674032763418,0.11218593297828108,0.11382455657009449,0.29135446691385625,0.5505362549235433,0.4471028248128431,0.6630363700925637,0.4889497587647563
cluster_proportion_n_clusters_20,0.0,1.3065506321966156,1.5090786740625233,1.6847051143540523,1.7219273863688216,1.8159448309897384,0.08890031864191678,0.15695093477028965,0.6041058861547367,0.16763150397290724,0.8276796781915936,0.4903489392441248,0.6464940481805346
iterations_k_n_clusters_20,0.0,0.1895997859824826,0.259127436543739,0.3608248198788234,0.360047215043182,0.41102327734532607,0.11488089467886689,0.10766832463465341,0.2882609035850759,0.13791468003825597,0.4247708627141443,0.2858751377025497,0.13222053399589073
wcv_ratio_n_clusters_20,0.0,0.2912729194048568,0.3134262276446264,0.28085996152381776,0.4090458313383325,0.5642886065729683,0.07293871588370984,0.11222508943277434,0.2699184874195258,0.3457576214971697,0.6048238777859213,0.4757074286635674,0.2666801909897022
centroid_distance_n_clusters_100,0.0,0.12343522874219878,0.14266799983512862,0.21670589493262254,0.12955901106942044,0.13077697459866533,0.16930548089590355,0.06767492136526435,0.23707908471944605,0.2325051158636291,0.49972388230421944,0.157838166790085,0.7232361617020767
cluster_proportion_n_clusters_100,0.0,1.3734536528288384,1.6241751713022095,1.757576871945354,1.7663801944400201,1.8110715925009293,0.09264102562990337,0.42214068435784213,0.7160617615923006,0.14443115253201821,0.9129656836897408,0.35944356725730536,0.7053456424082678
iterations_k_n_clusters_100,0.0,0.3657518348366025,0.3122600838620495,0.3916199724247551,0.4519066837983682,0.36078713392829065,0.16096081683138946,0.22848019103291836,0.13510512631198007,0.1829875324664594,0.39465943640064916,0.25931724276991774,0.41304507068512397
wcv_ratio_n_clusters_100,0.0,0.49282397347186613,0.5822339107563814,0.7276624427155631,0.6701793252502372,0.7386629243052183,0.17156859281473114,0.2507897903557555,0.31369800704870265,0.28385834403627835,0.4916587956705884,0.27284446134759094,0.4604286215032751
q_pct_threshold_1,0.0,0.9602587063547268,1.1754688132968028,1.2315366417756102,1.3633425111820496,1.4244025013530575,0.10107217764979703,0.3635302133396351,0.41967727090191714,0.5607543823842778,0.9691541719712438,0.44986460476648493,1.4024357497383644
k_pct_threshold_1,0.0,1.8212650632304215,1.8916549726754361,1.8997674819680648,1.8987579667772612,1.8912480205396751,0.07384319708963831,0.17533289455197326,0.5176925523473848,0.483953190027555,1.0616936501950225,0.3236560604720843,1.4226615493934616
q_pct_threshold_2,0.0,0.9802554243250706,1.1955175627412655,1.2706851441774738,1.3924765447716454,1.462788782152187,0.0969809792631471,0.37956977145718407,0.4471844817997847,0.5766949135658352,1.0048145599252005,0.47025692459774293,1.4162538536968916
k_pct_threshold_2,0.0,1.7710438675408589,1.859598574149278,1.8747296850347661,1.8731421953965912,1.8638995190382674,0.07722517315364838,0.2028716153391374,0.5526267531340698,0.4874874339618902,1.0877123825308748,0.33526080644241896,1.427247837677509
q_pct_threshold_3,0.0,0.9521615815512321,1.1722453332145855,1.259444136271867,1.39502281381749,1.4764165399795335,0.10203648859372283,0.37308195360035834,0.4862753731920072,0.5949384566928893,1.0280978572667925,0.4825339297359456,1.3846711523043216
k_pct_threshold_3,0.0,1.6784961794256557,1.797896910873083,1.8237736923933152,1.820800982402928,1.809666475983404,0.09381588832608784,0.23491610634409493,0.5962937953176213,0.5001926425970273,1.1141183708190092,0.3476265520767228,1.3937650216107595
q_pct_threshold_5,0.0,0.7113103720489575,0.9966415627329486,1.1362579515434643,1.3240527858515854,1.432715293297755,0.10854701832639513,0.31122751075397176,0.5286801231069316,0.6073882452609018,1.0060942772952193,0.49253324733584347,1.2722599517237687
k_pct_threshold_5,0.0,1.437704000998559,1.6232864734398915,1.6898069992205964,1.6789117298647143,1.6582476279682692,0.10093771760411824,0.2598877554558464,0.6445992401896445,0.5103651383726159,1.0993924452462323,0.3514956044361368,1.2886894968743996
q_pct_threshold_10,0.0,0.3706981046814981,0.6633594270562893,0.8857510205082115,1.157924317297934,1.299734065654961,0.1541757201042026,0.21191930056727992,0.477738102551113,0.5525948342320918,0.7915813784954302,0.4662683753333471,1.0011748805483645
k_pct_threshold_10,0.0,0.6698589804266726,0.9460843700353734,1.1793114440992944,1.152883330302942,1.1158829803679633,0.08892455776662533,0.22569257331270662,0.6093647473505921,0.38997739151092725,0.9285479145161437,0.3240847269807197,1.0579319928296165
peak_value,0.0,1.6582230286055823,1.7300409221506454,1.731421286441314,1.7256922315989742,1.7176962740412896,0.1154583678819297,0.39929714574411646,1.3497793661739854,1.3965925616959314,1.6006799742802764,1.0811774611599752,0.9767790022894288
MSE,0.0,1.4550015530384295,1.4867004035118523,1.48217917032991,1.472912427083273,1.4688026237728447,0.1856772404797146,0.4295271990073215,0.2164035688303571,1.548910302239821,1.3276521318630796,0.5792419961601997,0.8504576727485118
SSIM,0.0,0.9707597470907019,0.9605496306984178,0.9157430455555885,0.8689269216134159,0.8317527716273204,0.1865153849667357,0.361169882341958,0.1567325271175701,1.433738143898906,1.0933774694050689,0.5848000854271079,0.48368675107663717
NCC,0.0,1.475149419181589,1.7336660054213442,1.7277769755336272,1.7382540112704623,1.7359437953711252,0.1719410223382859,0.1346960518405668,0.2921277099214511,0.9966736265313693,0.4437438917741632,0.7004500901051186,1.209870689335083
