Similarity Metric,BASELINE,BLURRY_02,BLURRY_04,BLURRY_06,BLURRY_08,BLURRY_10,DIFF_TIME_1VS2,DIFF_TIME_1VS3,TOE,HEEL,INSIDE,OUTSIDE,OOD
q_points_count,0.0,32877.34639614601,35553.005126304735,35736.82258662219,34654.51306281267,33502.86226916188,2561.1166704814223,4188.960333338584,24899.832684824905,28044.10894941634,32525.25680933852,20418.684824902724,15615.792529182881
k_points_count,0.0,14647.032456302884,14647.032456302884,14647.032456302884,14647.032456302884,14647.032456302884,2016.1871519035626,5186.418390333811,24138.731517509725,26716.04280155642,29637.536964980543,19629.120622568094,15075.599182879378
mean,0.0,1.561068685479193,1.4201577239472791,1.6486537608720297,1.833553488467017,1.744640585071731,0.46393587332112135,0.6858278584667172,0.81982589727618,1.3329305331692818,2.738490896228719,0.9390388789225965,4.450242115346386
std,0.0,3.3899542944410945,3.3567083039774936,3.5388662072935073,3.6353676143626776,3.237771136742807,0.8452834560968706,1.3840379721012501,1.438875465682765,3.4170997479848664,1.118434293591261,3.7926679218575794,10.905955951874803
0.1,0.0,0.10086895968433172,0.1560448552508335,0.17235162376421195,0.20239615681078627,0.22922773615518832,0.01320677373874055,0.032312415458002175,0.08333020748246706,0.06658949306226092,0.22563311177742595,0.07049017373438135,0.5291186982907554
0.25,0.0,0.3148713286710764,0.44351180904511456,0.48426118626191067,0.564269583678449,0.6619692148611461,0.025073180032334504,0.09288910816150127,0.24156420960392308,0.17392034558906216,0.6679933670127919,0.19247770631861807,1.2566871041865455
0.5,0.0,0.5814804349458271,0.9292451560924242,0.9993817991041757,1.239091670509727,1.6243337472051018,0.07221951032322675,0.2063237159030552,1.049844260009755,0.526207217721582,2.201908406618888,0.7568857734045947,2.707978955008514
0.75,0.0,0.9483138768447685,1.6946145012294798,2.1856121788062293,3.090277913980284,4.352621976211439,0.3592337712414835,0.5058674209393226,2.841197212664088,2.191313935273939,5.370497846490534,2.3575156328595757,5.1174337394051115
0.9,0.0,5.090518638894788,4.763021546204029,5.834804566720596,6.343856838449955,6.7183903080655085,1.6072573034442352,1.7988918045512365,2.3823243921797412,3.816845951340065,6.493895402375374,3.1463563772697194,7.55808567354622
centroid_distance_n_clusters_20,0.0,6.139349382680896,15.72719361190215,27.84935476012001,31.2730902929989,35.84798712071038,3.6365444395850086,3.5487259741993205,9.06568093238052,36.23347750267176,32.02043412435063,23.2581999991451,39.70664246114768
cluster_proportion_n_clusters_20,0.0,0.00582415696670067,0.007292192146006204,0.009920552749688744,0.010148654020977622,0.01118156803953695,0.00028554878019477635,0.0005167945023256762,0.002194894085790725,0.0006221483556273442,0.003952546711027639,0.0020954615746918213,0.0029141172381507065
iterations_k_n_clusters_20,0.0,1.48866654314125,2.116607992094372,3.0230066086097214,3.099932061021556,3.7189796800691752,0.9828641184100101,0.8752973424282047,2.6420233463035014,1.4085603112840464,3.5797665369649803,2.3618677042801552,1.1051050583657587
wcv_ratio_n_clusters_20,0.0,0.0217052353542332,0.023848344373767885,0.022339765089974435,0.030975635509311768,0.041931235386680164,0.006067789337385087,0.00932110680513226,0.02505849182615745,0.0645319608686334,0.10583263976775031,0.05951274178265323,0.021926322515815454
centroid_distance_n_clusters_100,0.0,18.048055412302396,21.205343833454183,32.71962109589415,18.77221633612111,19.633547983225952,24.76613630635758,9.88583036287988,31.43349737473087,31.573200177302503,94.47813439550981,23.732064834857162,121.40837328179994
cluster_proportion_n_clusters_100,0.0,0.001561632956894903,0.002164170275700207,0.0026975632365632517,0.0027900756866578317,0.002955094946052104,8.062587077612291e-05,0.00038616270137912135,0.0007475746566027704,0.00014422494210776575,0.001113705900714635,0.00035716042223284437,0.0007700405045303025
iterations_k_n_clusters_100,0.0,2.835680316225063,2.4421283429065523,2.9864430856648756,3.4191217342968314,2.7900994379593596,1.2763256275272752,1.7864963216181722,1.1750972762645913,1.684824902723735,3.5603112840466924,1.9533073929961091,3.333229571984435
wcv_ratio_n_clusters_100,0.0,0.08314163236362426,0.0980312443575676,0.1304149651090709,0.11660449962207942,0.12374930705323314,0.0312373863114073,0.04867806874322911,0.07273096125139951,0.09853509853942981,0.318518832034832,0.06630997238825263,0.06526003322038322
q_pct_threshold_1,0.0,0.03097341328939051,0.0408480849944166,0.043754708261818806,0.04992235908113718,0.05412625462074227,0.003045257449089396,0.010653344076636005,0.01630048398973658,0.024224505234019787,0.041573129373881135,0.0192251711445382,0.07707081295529206
k_pct_threshold_1,0.0,0.09463592989783703,0.11054783637739873,0.11273677203943666,0.11188275227548658,0.10995498757732564,0.0022222249783383427,0.005250715750186149,0.01884671931229161,0.01976736670785106,0.04929899449881671,0.012551017841901515,0.07875129050706017
q_pct_threshold_2,0.0,0.05149068618265518,0.06812042399018212,0.07392044250789073,0.08366442858885059,0.09214851746716932,0.004707072355170384,0.01791559264460863,0.028650564759063867,0.040226687929624055,0.07231671538195211,0.03281854346829763,0.12789108993403855
k_pct_threshold_2,0.0,0.14216474591481876,0.1700677482613599,0.1752671879418755,0.17307860684979476,0.1700894801785507,0.0037349068825463304,0.009904048620684327,0.03346724946278477,0.03226447395761348,0.08584605571955439,0.021238209406096623,0.1305540928954053
q_pct_threshold_3,0.0,0.06496119835466116,0.08671114693524495,0.09530936587642586,0.1096367773808459,0.12294229114052496,0.006396238701661346,0.022719895871211766,0.041426769947964945,0.053863459680844245,0.10073666497322714,0.044118374126854945,0.1675772734234653
