Similarity Metric,BASELINE,BLURRY_02,BLURRY_04,BLURRY_06,BLURRY_08,BLURRY_10,DIFF_TIME_1VS2,DIFF_TIME_1VS3,TOE,HEEL,INSIDE,OUTSIDE,OOD
q_points_count,0.0,1.6997992429207693,1.7422428842164746,1.749104126153826,1.7338872135645822,1.7107525818454086,0.04340476845043106,0.030849295057220012,1.4315087750497124,1.5840852258452853,1.6256981106850352,1.3578333785104313,0.8139584201753295
k_points_count,0.0,1.121895363780602,1.121895363780602,1.121895363780602,1.121895363780602,1.121895363780602,0.08578762995039635,0.1228530263284908,1.4050426628441488,1.5597666068596858,1.5693130202478471,1.322834452486942,0.8158057689724676
mean,0.0,0.4572124289492301,0.6612397199136577,0.66903657995564,0.8262686953666531,0.8817610846893686,0.2704905572133405,0.28438376922715153,0.2705789252647217,0.2026763118217181,0.26554537180578697,0.2140275842665212,0.2639828456745364
std,0.0,0.39552088737619234,0.5236874804498194,0.4649926461343999,0.5833136406544055,0.5502766838688257,0.20993125632926818,0.1927768882593897,0.12460638776958032,0.3542296397367853,0.09436148692781263,0.3372159572501108,0.31907464566326127
0.1,0.0,0.7849501601190115,1.536001207648028,1.6487676916031202,1.6880079703128945,1.7455222115889097,0.6477875655584949,0.8949955347024787,0.6458827318620749,0.4529229400244015,0.6643616514846575,0.5131521952944968,0.5531369946597706
0.25,0.0,0.8831698937870441,1.6386772484622671,1.7208713517678909,1.772281164771522,1.8460008932883194,0.6360543339244379,0.8686136748416368,0.6058482012376532,0.4764888403288594,0.6627423406375238,0.5165531800721826,0.5550422532685743
0.5,0.0,0.9308385141013372,1.60959606156337,1.7265970897405707,1.8004071708774647,1.8691970286001265,0.6348257481820676,0.8364736269330583,0.540962396899646,0.466705450898247,0.6262524332510278,0.4899399029959879,0.5240198107222711
0.75,0.0,0.5239089081021753,1.1310508421202146,1.3288719106086655,1.5383436655074711,1.6794029923209095,0.44596359717526984,0.5742288972864358,0.5259361926671741,0.4249848188131057,0.5598643185264467,0.521218361303813,0.40729119434617167
0.9,0.0,0.4033571982347358,0.517462295300394,0.5552836229854003,0.6846209856997343,0.7731469827695091,0.1862582620198292,0.19394194629382117,0.1732355662722823,0.13752889032393278,0.1615557597219284,0.2420855141475041,0.21502452923537896
centroid_distance_n_clusters_20,0.0,0.28346835835681244,0.702211302381163,1.021571055246047,1.0674152744305516,1.1417176101984503,0.2395096249887191,0.3879670269380623,0.2894034000557403,0.6400981687746599,0.5462474017487537,0.5166007963585417,0.12361630004275705
cluster_proportion_n_clusters_20,0.0,1.3866653646866869,1.576108823996821,1.7373948496938387,1.780980081184052,1.8250659305669554,0.20849984643480723,0.4008542546736594,0.3753564408913436,0.11984309052138256,0.4963145984659625,0.5184608899710563,0.24561181957297773
iterations_k_n_clusters_20,0.0,0.16836998554905214,0.26346261070817323,0.3745550792754041,0.41733910234622046,0.465887899797603,0.14639216803813634,0.1411885896695093,0.1600873286405876,0.13268198722537175,0.6385159009260888,0.3687072301970297,0.17528307976538132
wcv_ratio_n_clusters_20,0.0,0.354811150213831,0.32350237328693704,0.44128647690659745,0.4459003966832766,0.5006948219033382,0.14979376021395543,0.16359071454574692,0.22830681617341084,0.22413973413848626,0.3638039779976417,0.38502157723128094,0.2608710462327963
centroid_distance_n_clusters_100,0.0,0.12141090229453691,0.14577276074062587,0.3433574116589209,0.25470251989006637,0.2807954571397973,0.1580538105883261,0.1295084013251833,0.18180321723923376,0.18519200000579877,0.47509993093810865,0.07195442613064043,0.09824744796030456
cluster_proportion_n_clusters_100,0.0,1.3139776078963123,1.5894290158011617,1.7032130200668412,1.7153122270810293,1.7456217844867248,0.22110943386591309,0.3688885466961572,0.5010348238616618,0.19725241424740958,0.5003942980701086,0.3464657283476843,0.20566573935235363
iterations_k_n_clusters_100,0.0,0.38462316268525215,0.3004387547631435,0.3333885815063413,0.313823282228213,0.283539166026034,0.11706399124063886,0.07256254111557763,0.1418412345644073,0.1772195292150396,0.6017135621583019,0.14050360453692773,0.2456822457089644
wcv_ratio_n_clusters_100,0.0,0.5075809271131058,0.5682590197822216,0.7684966816112155,0.6796245866292101,0.6915461187660565,0.09723815816906606,0.11014564780321913,0.28536125003826907,0.09458288216639002,0.3333846733891797,0.22093794821675655,0.4318845948695324
q_pct_threshold_1,0.0,0.9698705847373844,1.4858203504238854,1.5590940340499237,1.5957671176489452,1.6555862865309412,0.6742970814839575,0.9436899190562664,0.5174571877796306,0.4830460347804387,0.6278514130677575,0.37778988147810344,0.5627211848447751
k_pct_threshold_1,0.0,1.7015942731270095,1.8353577509701493,1.8533294069635446,1.8492687548650402,1.8527521456633238,0.6447908526145809,0.8475413825783342,0.6223656955110074,0.4005334799239353,0.6793737644534955,0.4215029336846152,0.5628317617013855
q_pct_threshold_2,0.0,0.9961935091089076,1.5191400486550775,1.6079837375172417,1.653587309485871,1.711448459445137,0.673678120913108,0.9456292944457289,0.5377801344562346,0.49333159482605077,0.6626908907955922,0.38338734900108074,0.5754258160947172
k_pct_threshold_2,0.0,1.6913085547991806,1.8473661881484484,1.8725084703599917,1.8707914296612744,1.8734817234891037,0.6410025207612188,0.8513134128604076,0.648635579102555,0.38883513994975544,0.7092876553711117,0.43633651531662004,0.5743556620738851
q_pct_threshold_3,0.0,0.9621260745406317,1.5410494108116128,1.6514989952115207,1.7115576230762555,1.7721392783495933,0.6672367524894574,0.9294319606669981,0.561190389541673,0.5031882816609012,0.6889261914541089,0.4168291162685316,0.5959513632790208
k_pct_threshold_3,0.0,1.6529234279251153,1.8524784419577824,1.8874474651033255,1.8884967928901741,1.8924860347027646,0.6359941568409201,0.8454512714417928,0.678409786979719,0.3695865484453431,0.7341024515839909,0.4574533882093552,0.5914122798429785
q_pct_threshold_5,0.0,0.6177674471582362,1.3869015828959057,1.602621235527225,1.7207749163039567,1.8122000807184324,0.5970715151389475,0.8255459169569975,0.580966378128662,0.4778156190327889,0.6690287511794089,0.4813072396924422,0.5969429321513968
k_pct_threshold_5,0.0,1.4526728119883214,1.7941859499100683,1.8614250718337682,1.8681433128398728,1.8812273734845295,0.5650420350909044,0.7661027420481163,0.7083242877416707,0.2867233207590467,0.715149491701782,0.5144290942872861,0.5909104991298328
q_pct_threshold_10,0.0,0.37300371606747834,0.6468660058722919,0.891688401947565,1.2907851724387989,1.5868216725993756,0.35987805440124326,0.4780037249322395,0.4971171404584393,0.35175455922470006,0.4881345417696873,0.4777604405493312,0.4618974837602402
k_pct_threshold_10,0.0,0.659405944694717,1.210207662949136,1.4299125487285078,1.452095751413473,1.511294178949313,0.3119862568478719,0.45780471112595233,0.6249553409939627,0.21153593833815953,0.5314015151072374,0.5184369839989376,0.46165626990388325
peak_value,0.0,1.556465629638745,1.6491424073426209,1.6620480173978716,1.6609976903253392,1.6525823848421917,0.3793541394644207,0.5846191627292237,1.235456331009667,1.2474672072317743,1.4683425986074712,1.090841274077422,0.5519172579533944
MSE,0.0,1.3992147647003201,1.4210743706008444,1.412795778818753,1.402812922927902,1.3957749985997199,0.04282176121980507,0.07203275671955613,0.2002041991550243,1.5069519508537208,1.3338147604634587,0.5481301470295973,0.9661862028132874
SSIM,0.0,0.9332139690228625,0.8559162569665316,0.7819775345076416,0.7230501221547835,0.6673649886105266,0.11104385681678672,0.12503199407420912,0.12711683401075313,1.4020174609197245,1.1313070897663626,0.5380298369909632,0.681072822025863
NCC,0.0,1.461629861255563,1.7194858807923985,1.7532642955812305,1.757042247911115,1.7517793035579772,0.7584440794995818,0.9961848800904719,0.3134102088047645,0.7314373169547678,0.3085186452977319,0.2429752864438216,0.3824493784335215
PSR,0.0,0.4343182926179456,0.7287560300825691,0.8422331417400486,0.9137578270878675,0.9221225011676151,0.5774051687172401,0.7248112111038443,0.23493422429942062,1.4536313997594144,1.0969456086394833,0.517821396321522,0.8292328017419408
jaccard_index_0,0.0,1.4654499920660105,1.695295180625052,1.7281061489382583,1.7257607129062438,1.7321701770878632,0.6718503624988836,0.8972480416808912,0.5439716452191753,0.4412459006788805,0.592677231962381,0.3804575128009728,0.5036424473346706
