col,km_kld,km_kst,knm_kld,knm_kst
mean,0.6270322415979565,0.2191780821917808,0.8308903550887857,0.19756838905775076
std,0.6309409556640548,0.0730593607305936,0.6701551216635845,0.1033434650455927
0.1,0.6726503273149509,0.380517503805175,0.9122111082958416,0.4027355623100304
0.25,0.5956246107594313,0.3576864535768645,0.7539716847867702,0.39817629179331304
0.5,0.45778003571798287,0.3470319634703196,0.6974911805544413,0.3404255319148936
0.75,0.4841912494256764,0.3120243531202435,0.7016238037726399,0.2553191489361702
0.9,0.6585634527083245,0.2465753424657534,0.6353132464308597,0.1884498480243161
centroid_distance_n_clusters_10,0.6918905197986757,0.0258751902587519,0.699449098532203,0.028875379939209727
cluster_proportion_n_clusters_10,0.5491110963640182,0.0136986301369863,0.30416358344166106,0.0121580547112462
iterations_k_n_clusters_10,0.03709406091082122,0.0121765601217656,0.11347832921289108,0.013677811550151976
wcv_ratio_n_clusters_10,0.30239533559455756,0.0060882800608828,0.3088808188260195,0.0060790273556231
centroid_distance_n_clusters_20,0.25965157474239176,0.0471841704718417,0.25169116724668744,0.05319148936170213
cluster_proportion_n_clusters_20,0.6073608130048965,0.0136986301369863,0.5560186856030641,0.0243161094224924
iterations_k_n_clusters_20,0.09493078112527263,0.0273972602739726,0.11351192307504271,0.041033434650455926
wcv_ratio_n_clusters_20,0.4485624473300057,0.0091324200913242,0.5592756956573042,0.0121580547112462
centroid_distance_n_clusters_50,0.3474641953381288,0.0471841704718417,0.4089503968259586,0.060790273556231005
cluster_proportion_n_clusters_50,0.7757368687864571,0.015220700152207,0.5515610271130432,0.0243161094224924
iterations_k_n_clusters_50,0.08497784150350603,0.0289193302891933,0.08456705664050257,0.05015197568389058
wcv_ratio_n_clusters_50,0.5731965414831163,0.0136986301369863,0.692759331368089,0.013677811550151976
centroid_distance_n_clusters_100,0.6235132599196596,0.0228310502283105,0.6699569624916936,0.025835866261398176
cluster_proportion_n_clusters_100,0.757041248027566,0.0258751902587519,0.5942684942705758,0.031914893617021274
iterations_k_n_clusters_100,0.0637128482786306,0.0487062404870624,0.07624487069485832,0.05167173252279635
wcv_ratio_n_clusters_100,0.742865045981061,0.0258751902587519,0.7733034563806123,0.028875379939209727
centroid_distance_n_clusters_500,1.001449416009732,0.0593607305936073,0.8818898428223112,0.08054711246200608
cluster_proportion_n_clusters_500,0.6499591976868551,0.0502283105022831,0.42491342064193055,0.0668693009118541
iterations_k_n_clusters_500,0.07303720651628776,0.0395738203957382,0.1188115101805744,0.07446808510638298
wcv_ratio_n_clusters_500,0.7669552274131146,0.0517503805175038,0.7040048198852875,0.06231003039513678
centroid_distance_n_points_per_cluster_10,0.8025347439777778,0.1491628614916286,0.6742668365054006,0.11854103343465046
cluster_proportion_n_points_per_cluster_10,0.7183271137003061,0.0654490106544901,0.5583978886037247,0.0729483282674772
iterations_k_n_points_per_cluster_10,0.05576565883728686,0.0867579908675799,0.05826918534411335,0.10182370820668693
wcv_ratio_n_points_per_cluster_10,0.48688392062226465,0.0654490106544901,0.334618337431749,0.06990881458966565
centroid_distance_n_points_per_cluster_30,1.0559812191873335,0.0882800608828006,1.046815804679221,0.10638297872340426
cluster_proportion_n_points_per_cluster_30,0.6446101348719525,0.0700152207001522,0.5689770403402669,0.0911854103343465
iterations_k_n_points_per_cluster_30,0.083299865854294,0.076103500761035,0.11267602565220844,0.05927051671732523
wcv_ratio_n_points_per_cluster_30,0.3877135589453284,0.0684931506849315,0.16454516706501965,0.08662613981762918
centroid_distance_n_points_per_cluster_100,1.1915644518304251,0.0517503805175038,0.9804698361686766,0.07446808510638298
cluster_proportion_n_points_per_cluster_100,0.6659845695777902,0.0487062404870624,0.6421634302190935,0.060790273556231005
iterations_k_n_points_per_cluster_100,0.05378982504627003,0.045662100456621,0.04636920079654293,0.044072948328267476
wcv_ratio_n_points_per_cluster_100,0.7992757580186652,0.0578386605783866,0.6176538920723106,0.06534954407294832
centroid_distance_n_points_per_cluster_1000,0.3348164965686268,0.045662100456621,0.42534201062970484,0.0547112462006079
cluster_proportion_n_points_per_cluster_1000,0.6961058900287146,0.0182648401826484,0.749873567590914,0.016717325227963525
iterations_k_n_points_per_cluster_1000,0.06383467152995889,0.0334855403348554,0.1056947582882025,0.057750759878419454
wcv_ratio_n_points_per_cluster_1000,0.5887665449899573,0.0136986301369863,0.6891294312655899,0.0121580547112462
q_pct_threshold_1,1.8239799804027252,0.3713850837138508,1.5485474907104215,0.4088145896656535
k_pct_threshold_1,1.5454928240602468,0.3531202435312024,1.2931820957198263,0.3799392097264438
q_pct_threshold_2,1.61282082945865,0.3561643835616438,1.5138845837716945,0.3890577507598784
k_pct_threshold_2,1.4456319134303635,0.3455098934550989,1.1549429270891256,0.3768996960486322
q_pct_threshold_3,1.1482721964677622,0.3409436834094368,1.2752841737163865,0.3662613981762918
k_pct_threshold_3,1.4302634889665524,0.3211567732115677,1.0662787610876285,0.3343465045592705
q_pct_threshold_5,1.0176665074200486,0.2937595129375951,1.026212347079103,0.2978723404255319
k_pct_threshold_5,0.8196241653744053,0.2648401826484018,0.8994346837159315,0.2689969604863222
q_pct_threshold_10,0.392937150129873,0.2054794520547945,0.8313154361521634,0.2066869300911854
k_pct_threshold_10,0.6113313711748702,0.182648401826484,0.6606128734697772,0.19300911854103345
peak_value,0.8772759221807979,0.1598173515981735,0.943897628285141,0.08966565349544073
MSE,0.6670741246517058,0.060882800608828,0.7413765154011218,0.0243161094224924
SSIM,0.2701880507050456,0.1232876712328767,0.2519974199731581,0.057750759878419454
