col,km_kld,km_kst,knm_kld,knm_kst
mean,1.5231745219236148,0.3113072468104203,0.8233629396451144,0.05207952998971022
std,1.2764821811825402,0.14578866259673215,1.0278996001624592,0.057018146987277696
0.1,1.3799968620596288,0.37078432909005854,0.3902266451763185,0.08698177714342616
0.25,1.2434200098748691,0.36115800796415415,0.4322956377667387,0.1095481509229974
0.5,1.038335852232066,0.35659417244269676,0.31118560795980266,0.1148732271479309
0.75,1.2420266269768048,0.35377323768749835,0.5005942531082658,0.08489774241425584
0.9,1.5595150226160548,0.3419386090512113,0.847465106112953,0.05128527329543029
centroid_distance_n_clusters_10,0.9172601540159616,0.16260266849030122,0.7736156347288647,0.026473642532327462
cluster_proportion_n_clusters_10,1.0035491942786188,0.14300334570460443,0.733306149313006,0.06332004040040022
iterations_k_n_clusters_10,0.09719965442167414,0.10085316654675315,0.20322711577706093,0.04030793450583012
wcv_ratio_n_clusters_10,1.2232016782686497,0.05348615771114866,1.1446362355506494,0.05391461859082269
centroid_distance_n_clusters_20,1.4373715102029596,0.22268762896634584,0.5808854906921372,0.0401372285894475
cluster_proportion_n_clusters_20,0.9811365871623989,0.17722498854292065,0.4859655023884762,0.03370019299252214
iterations_k_n_clusters_20,0.136713578742222,0.12500920128129323,0.16345269452765288,0.05466856972151229
wcv_ratio_n_clusters_20,1.301837034913021,0.07867511047473866,1.2035101004666593,0.042776057546861174
centroid_distance_n_clusters_50,0.7677463792286318,0.21876966402857023,0.7048475387287739,0.035419106733874245
cluster_proportion_n_clusters_50,1.1882369136849225,0.20080876294412503,0.5103255766235529,0.06797651845283535
iterations_k_n_clusters_50,0.1528855822897609,0.10689870517195113,0.13029378863568017,0.08143146394548793
wcv_ratio_n_clusters_50,1.193535350101462,0.10299023833099447,1.103979258036719,0.054208612113481526
centroid_distance_n_clusters_100,1.1267439233969538,0.16131092732293764,1.0985097509543746,0.05015908843040653
cluster_proportion_n_clusters_100,1.2605584370861804,0.193689939378397,0.7228357285167419,0.07632925377805383
iterations_k_n_clusters_100,0.11873208775516254,0.09175161527009024,0.10248408896436856,0.07969358288009334
wcv_ratio_n_clusters_100,1.1540039014234258,0.09929785319266655,1.1093756044351206,0.10111243355509299
centroid_distance_n_clusters_500,1.2471306661148716,0.13227999439612284,1.4659650497547805,0.05501946521629864
cluster_proportion_n_clusters_500,0.8435454532146697,0.21318003405067704,0.41680534830374083,0.09539141444077215
iterations_k_n_clusters_500,0.11098213949029809,0.08867423190078284,0.06315673914452356,0.06861192380825935
wcv_ratio_n_clusters_500,0.9267112637802616,0.18471898693299335,0.6263039513956113,0.13820303572021303
centroid_distance_n_points_per_cluster_10,0.726132096460249,0.16158399760647957,0.6391507165467197,0.0597636671424304
cluster_proportion_n_points_per_cluster_10,0.612319682311167,0.08464228980118105,0.8864014601963317,0.1262251705873706
iterations_k_n_points_per_cluster_10,0.03465116685152868,0.10237286203776914,0.03788386087688223,0.0724148722787817
wcv_ratio_n_points_per_cluster_10,0.4854911683625456,0.14415736446809474,0.33107782339737357,0.09527049775000121
centroid_distance_n_points_per_cluster_30,1.3469531140189805,0.17215300484165483,1.08711350280459,0.05656293121025755
cluster_proportion_n_points_per_cluster_30,0.8410494430043091,0.12376257607381916,0.9845812540617188,0.1264195856588063
iterations_k_n_points_per_cluster_30,0.10624838553215687,0.17310993809615394,0.05812485508700657,0.03712142406668909
wcv_ratio_n_points_per_cluster_30,0.403916012259294,0.18993106756233724,0.16454516706501965,0.10338139969367774
centroid_distance_n_points_per_cluster_100,1.119123894082539,0.13239159703374434,1.4606412155516613,0.08217356049865097
cluster_proportion_n_points_per_cluster_100,0.7605062954424506,0.14354711174748355,0.8413007188134093,0.10259425574591371
iterations_k_n_points_per_cluster_100,0.09790557485947818,0.12756181480135914,0.09529404299025387,0.06149680637681437
wcv_ratio_n_points_per_cluster_100,0.821616628319155,0.19898750287911066,0.7019346504871518,0.11083081621137188
centroid_distance_n_points_per_cluster_1000,0.8082124887453526,0.22181617858321634,0.7024214121017845,0.035523427016108035
cluster_proportion_n_points_per_cluster_1000,1.1265380869798578,0.1403771219341924,0.599410008357067,0.08412956579053434
iterations_k_n_points_per_cluster_1000,0.13879094011399495,0.12866359403234573,0.10821382578909826,0.08757924785076511
wcv_ratio_n_points_per_cluster_1000,1.0926655488390489,0.11151478022591227,1.0277901644764187,0.0639246238542551
q_pct_threshold_1,1.9492358891575594,0.36366788004853534,0.6668675548457264,0.10006685981724986
k_pct_threshold_1,2.052054056608706,0.3746714252131729,0.6822537788044722,0.10195410855947919
q_pct_threshold_2,1.754360578660751,0.36268245250357967,0.8352005481879085,0.10798808852050133
k_pct_threshold_2,1.9176078868630058,0.38204907191721466,0.6581226921408488,0.10658213562585059
q_pct_threshold_3,1.846173923100693,0.3557155984869532,0.7167364596319601,0.11358344911304054
k_pct_threshold_3,1.8511128093429934,0.3891655209587379,0.6495981997307442,0.10584478090369817
q_pct_threshold_5,1.6892467163005147,0.35746799735003104,0.6761868913939716,0.09491486042420423
k_pct_threshold_5,1.5656588289125126,0.3957833199172716,0.49103039524753656,0.12935477905438408
q_pct_threshold_10,0.8527697123204238,0.31598743401790874,0.5201568041803376,0.053570835842552275
k_pct_threshold_10,0.9150382392286764,0.37280030013985954,0.5271603482859235,0.13930788234568897
peak_value,1.7092437402420821,0.33167354091423934,1.0561183576104969,0.14055261298597843
MSE,0.8474841362989128,0.07900754386339834,0.9591538983792666,0.10859267197435621
SSIM,0.5825523178589007,0.17060006601177294,0.35288384278429197,0.10835083859281422
