col,km_kld,km_kst,knm_kld,knm_kst
mean,5.234380509154314,0.6375235025517055,3.3805617082772668,0.4246081411287919
std,3.224952129192772,0.36757990867579904,2.8095357630083506,0.3200528438325685
0.1,5.252021751743994,0.8104127495747157,3.3432997921156367,0.6080318652283608
0.25,5.918221109073251,0.8533440773569702,3.788293363269264,0.652482269503546
0.5,6.469707028561946,0.8945295012982362,3.5331269209672675,0.6331823509545662
0.75,6.167035124296072,0.8306025606589668,3.1136362939132955,0.5354709259590361
0.9,6.2441465505454685,0.7010027755394395,3.119925303509266,0.4553112024951825
centroid_distance_n_clusters_10,4.090829241833013,0.5693884859880025,2.893344660629417,0.4728430379243896
cluster_proportion_n_clusters_10,4.892025598309548,0.7676157220879218,4.234470172211931,0.6806027375489203
iterations_k_n_clusters_10,0.5340157146069955,0.2955501835437371,0.4870683660254348,0.18043387567793073
wcv_ratio_n_clusters_10,2.0332674157194703,0.20055510788790407,1.8471076617393174,0.13152353139837497
centroid_distance_n_clusters_20,3.094887680238935,0.4760497806428507,2.0813758461363396,0.32555575421658023
cluster_proportion_n_clusters_20,5.660318468383806,0.8602829259557704,5.293994043081729,0.8086497010151579
iterations_k_n_clusters_20,0.6127481705961472,0.20655385441847968,0.5546184702253997,0.12442139976557998
wcv_ratio_n_clusters_20,1.8756924403744866,0.17038230817441136,1.7286791876955638,0.12215666408407337
centroid_distance_n_clusters_50,1.3666206872693176,0.3278270212194467,1.3730527184492527,0.11336591374138308
cluster_proportion_n_clusters_50,5.58602178601595,0.861223028023995,5.682870419734665,0.8528021137533027
iterations_k_n_clusters_50,0.44032492836012593,0.158474348643567,0.3180284639742678,0.06298547787909489
wcv_ratio_n_clusters_50,1.9757135231782177,0.44037066881547143,1.8533252123024089,0.3694201084689195
centroid_distance_n_clusters_100,2.315913228135997,0.1998836064106007,2.171102058568564,0.2191628424419413
cluster_proportion_n_clusters_100,5.610557986980019,0.8716536843047721,5.7033324267264,0.8723304924806802
iterations_k_n_clusters_100,0.7285256855598299,0.13635956665771337,0.8467243881008318,0.2104018912529551
wcv_ratio_n_clusters_100,1.9747588583647069,0.4233145312919689,1.7876888085251714,0.36545682102628285
centroid_distance_n_clusters_500,4.005992519007688,0.5217118810994718,3.5708872653377837,0.4652541867810954
cluster_proportion_n_clusters_500,5.887605051430285,0.8999462798818156,5.943900694405644,0.8952857738840216
iterations_k_n_clusters_500,0.43539948081020285,0.1899006177813592,0.8015096970169389,0.23145002681923837
wcv_ratio_n_clusters_500,1.3167963759642989,0.7005103411227506,0.8925079030316055,0.6218785386495024
centroid_distance_n_points_per_cluster_10,2.937651939230685,0.5164741695765065,3.2150155813144403,0.5929733595565886
cluster_proportion_n_points_per_cluster_10,7.120207225608706,1,7.172534595816956,1
iterations_k_n_points_per_cluster_10,8.557197223048384,0.883203509714388,8.905428615515046,0.8708206686930091
wcv_ratio_n_points_per_cluster_10,0.5557228445467253,0.8220968752797924,0.3498880047072655,0.7863202018396012
centroid_distance_n_points_per_cluster_30,2.319976106735487,0.19813770256961238,2.4744937309625774,0.32345988040606316
cluster_proportion_n_points_per_cluster_30,6.977329988210199,0.9969558599695585,7.096592048030148,0.9969604863221885
iterations_k_n_points_per_cluster_30,2.9483931917555886,0.5904288656101709,2.335597823408998,0.42383336313248704
wcv_ratio_n_points_per_cluster_30,0.43466119343463383,0.5776703375414093,0.16454516706501965,0.3932196992272086
centroid_distance_n_points_per_cluster_100,2.3216241662267416,0.16953173963649393,2.2758309735781466,0.19176748713669867
cluster_proportion_n_points_per_cluster_100,6.963231531994554,0.9969558599695585,7.067619206583159,1
iterations_k_n_points_per_cluster_100,0.15620708147461604,0.1317933566120512,0.2355577777419522,0.10621411685241476
