q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,centroid_distance_n_clusters_500,cluster_proportion_n_clusters_500,iterations_k_n_clusters_500,wcv_ratio_n_clusters_500,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,peak_value,MSE,SSIM,NCC,PSR,correlation_coefficient,jaccard_index_0,jaccard_index_-1,jaccard_index_-2
146360R_20180221_2_1_2_csafe_hanrahan.tiff,146360R_20180221_2_2_1_csafe_hanrahan.tiff,146,146,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,heel,24355,26893,2.3114281844817595,7.732332292073879,0.5016389246265002,0.8772958504127037,1.535342167009957,2.4596006506406503,3.716624182780545,14.934828141956444,0.004127975185240221,5,0.04428147191926788,160.79184875132003,0.0025363522383708282,11,0.011255185497452583,83.38953615995446,0.0008016569824337178,9,-0.1271201324072575,0.4208581400123178,0.39229539285315884,0.6805173475672347,0.651582196110512,0.845575857113529,0.8304391477336109,253272375.0,536.6974507855155,0.9382288839070706,0.1480525633179786,31.311266903719044,0.14805256331797242,0.06500415627597672,0.762921620965785,0.9112903225806451
146976L_20180221_2_2_1_csafe_hanrahan.tiff,146976L_20180221_2_2_2_csafe_hanrahan.tiff,146,146,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,heel,23849,23383,1.8478113964842557,3.195378052056652,0.45929380643386536,0.7871009961073456,1.3068134777584643,2.125983152044448,3.1680836810919693,18.3960240094513,0.007760988647728403,7,0.026027593127887577,101.52810376840071,0.0024461658342514923,9,0.012870459808654783,73.10979397046832,0.0009053285167174348,11,-0.09922978112166704,0.5000209652396327,0.505965872642518,0.7490041511174472,0.7593978531411709,0.8933288607488784,0.9029209254586665,245924549.9999999,501.74766785673154,0.9419431742463913,0.15629150530333957,34.86718834467332,0.1562915053033336,0.08239176769876011,0.7869274318064848,0.9830508474576272
146976L_20180221_2_2_2_csafe_hanrahan.tiff,146976L_20180221_2_1_2_csafe_hanrahan.tiff,146,146,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,heel,23515,22986,3.0180811669114913,10.449408061780357,0.5463572805313763,0.9584854747282558,1.7104540702961597,2.8170737240986505,4.2550560323613675,25.74604612853933,0.005511145989991863,13,0.03112382496197879,174.49504006376148,0.002391252823872444,12,0.007068531931474405,115.1699271660801,0.0009481914895236361,14,-0.09939754383466028,0.377673825217946,0.37453232402331854,0.6097809908568999,0.6076307317497607,0.7979587497342122,0.7854781171147656,173681775.0,514.8379613180093,0.937782096357254,0.11102564051885187,25.711325033029983,0.11102564051882981,0.05858627290128521,0.7289350135903138,0.926829268292683
148763L_20180221_2_1_1_csafe_tpashek.tiff,148763L_20180221_2_2_1_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,heel,23447,19904,18.169498840967478,21.047293915853935,1.2039023051174205,2.5653797426078704,8.331495217368033,28.07161172350851,50.14297170733563,82.27848817274126,0.018938080115871402,25,-0.03506080511278242,329.1904430218376,0.004064891182268922,15,0.04136656992460121,478.09584329379777,0.0016538959734808338,13,-0.46699429338254267,0.11340469996161556,0.13313906752411575,0.20535676205911205,0.2360831993569132,0.30101932016889155,0.34063504823151125,61578674.999999896,535.6450691280193,0.9211027980919503,0.03979076833145418,10.23049809822382,0.039790768331457255,0.01744199713217837,0.27502001601281023,0.7716535433070866
148647R_20180221_2_1_2_csafe_tpashek.tiff,148647R_20180221_2_2_2_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,heel,22148,17553,17.075423809058773,19.91867123526355,1.3417159733609325,2.7443750954178796,6.997436981850099,27.84484396720388,45.29337896167339,66.17010276413946,0.013855516266842532,23,0.12358971835194683,163.16345459710607,0.004120660305413572,12,0.17565302925356788,424.31048723789155,0.0015171467893414566,12,-0.2353163480743568,0.09910601408705075,0.1269868398564348,0.18710493046776233,0.22742551130860822,0.28846848473902836,0.34222070301372987,81216224.99999999,448.898053081909,0.9289350981447244,0.05990797491141269,17.313591718678445,0.0599079749114159,0.01381511746680286,0.2968329538397847,0.7786885245901639
148763L_20180221_2_2_1_csafe_tpashek.tiff,148763L_20180221_2_2_2_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,heel,18853,21257,1.7767617347467088,4.3908265916697,0.45754996469349596,0.8177793254216507,1.3662444302769758,2.149205420764466,3.1892986626907196,25.091656723376477,0.005337639235877861,12,-0.019703051946982724,21.936820295585797,0.0029325074516078123,12,-0.19257524341487203,105.18623503395676,0.000938121584711447,9,-0.2998190863703601,0.48427305999045245,0.4361857270546173,0.7456107781254973,0.6869737027802606,0.8928552485015647,0.8388295620266265,182460149.99999997,443.1016489621761,0.9488804846072892,0.13676123864643924,35.44800707295956,0.13676123864646872,0.07505092741503162,0.775062656641604,0.9333333333333333
148763L_20180221_2_2_2_csafe_tpashek.tiff,148763L_20180221_2_1_2_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,heel,20924,16861,12.580082166066314,15.801391300593256,1.2668060593513084,2.6452393706905872,6.179663043050939,19.470399661820903,32.64340173146426,61.44798626096693,0.01641355603696343,9,-0.1008769424095624,200.06398315893608,0.004798998006472615,10,-0.3487804870081779,395.95932273854817,0.001732926956931917,12,-0.8972145082036844,0.10490346014146434,0.12300575292094182,0.19374880519977059,0.2170689757428385,0.29807876123112215,0.31338592017080835,51499800.0,449.84080570122916,0.9302345891515349,0.03873394521915413,11.752546746440181,0.03873394521915037,0.016114279565264178,0.27735970758976564,0.7603305785123967
148647R_20180221_2_2_2_csafe_tpashek.tiff,148647R_20180221_2_2_1_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,heel,17480,18144,2.0657958074241356,3.4720791887398894,0.47006455659138563,0.8510747352472212,1.5530068924127078,2.4704744373546275,3.721028733218448,239.76489607599288,0.007164854487049018,15,0.08434240291620083,106.04575858814587,0.002457797835949993,10,-0.017086660505717603,96.80161838688045,0.001066173533901054,12,-0.17616629814097395,0.422025171624714,0.41335978835978837,0.6749427917620138,0.6640211640211641,0.8467963386727689,0.8380731922398589,182655224.9999999,341.02598287210077,0.9571709553155511,0.15510458958935308,50.67429706359001,0.15510458958933207,0.07762349880509423,0.7761572606214331,0.9238095238095239
148647R_20180221_2_2_1_csafe_tpashek.tiff,148647R_20180221_2_1_1_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,heel,18128,21466,1.900829712631948,2.296617380025712,0.48900052782246134,0.8683740081015674,1.508897097646389,2.4290984707943757,3.4877318492242115,59.814803581714955,0.009912781877757926,11,-0.18717385715372475,38.42423667555929,0.003957859594463074,10,-0.45209892915452493,84.28836293849449,0.0013784245337342385,20,-1.267640157174388,0.423598852603707,0.3528370446287152,0.6830869373345102,0.5739774527159228,0.8582855251544572,0.7238889406503307,154954575.0,408.029413885084,0.9467609044199934,0.11770109816378138,33.99645527436891,0.11770109816376564,0.06406086185112503,0.6681733581494284,0.8823529411764706
150768R_20180221_2_2_2_csafe_dtmartin.tiff,150768R_20180221_2_1_2_csafe_dtmartin.tiff,150,150,True,Adidas/Seeley,Adidas/Seeley,10 M,10 M,R,R,heel,36085,42002,2.2832541749426833,2.606628505304598,0.5715863310576463,0.9964482743606343,1.7746060185094696,2.986644391113594,4.399451476704319,45.00543218111187,0.011360670469093814,22,-0.021253082365623212,25.879291994551657,0.0027291616243510625,16,-0.15892241465612184,16.783181077342995,0.0009267219988011478,25,-0.3329339637613616,0.3482610502979077,0.3006285414980239,0.5817929887764999,0.5117851530879481,0.7664957738672579,0.6828722441788486,237081150.00000003,885.6781033474606,0.874202381671,0.0868197892957633,12.503973710006122,0.08681978929576564,0.047363549784711134,0.6810810810810811,0.95625
