q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,centroid_distance_n_clusters_500,cluster_proportion_n_clusters_500,iterations_k_n_clusters_500,wcv_ratio_n_clusters_500,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,peak_value,MSE,SSIM,NCC,PSR,correlation_coefficient,jaccard_index_0,jaccard_index_-1,jaccard_index_-2
146360R_20180221_2_1_2_csafe_hanrahan.tiff,146360R_20180221_2_2_1_csafe_hanrahan.tiff,146,146,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,toe,25893,22310,17.410575240131877,23.461604064251386,1.1976326688429064,2.7219607980812044,8.145580259099972,24.13497343176624,44.32924356082178,106.21402571970866,0.011379015393043389,13,0.008184147296454385,280.34618559111493,0.005215402923967107,18,-0.3955491151179333,559.9761325716436,0.0017242411887599639,13,-0.5797058120191454,0.11528212258139266,0.1324518153294487,0.1995906229482872,0.23056925145674587,0.28501911713590544,0.324652622142537,67951125.0,858.2146300841515,0.8693108329232049,0.036893196014561244,6.326225101953636,0.036893196014561196,0.017363384803869796,0.24093086926762491,0.7433155080213903
146976L_20180221_2_2_1_csafe_hanrahan.tiff,146976L_20180221_2_2_2_csafe_hanrahan.tiff,146,146,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,toe,18408,19771,2.1430734166993783,2.8272349214565295,0.5071410673134132,0.8897955202584074,1.5326479584994959,2.5114587048417545,3.9886613557655437,31.338634437903007,0.009702664700809924,12,-0.03480340695277695,12.843672245748344,0.003245971752018471,11,-0.05799378518513626,154.79922182002545,0.0010571385885612457,9,-0.3192894836505228,0.41639504563233376,0.38925699256486773,0.6669926119078662,0.6241970562945729,0.8302911777488049,0.7832178443174346,156645224.9999999,712.1421043574103,0.9069006201299541,0.12081425330533946,20.168781513511714,0.12081425330534333,0.06282547550753292,0.6879097823236296,0.9764705882352941
146976L_20180221_2_2_2_csafe_hanrahan.tiff,146976L_20180221_2_1_2_csafe_hanrahan.tiff,146,146,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,toe,19664,24689,4.954935677505841,9.492765888234624,0.848977958362095,1.6538581860313248,3.1405476897733298,5.1417264569410435,7.571203900873369,118.39255491793868,0.010205784550635784,51,0.005348148996327706,171.17210770431922,0.004130446576838772,16,-0.2698949433384317,230.29043111095518,0.00136029555035326,16,-0.8816787439859916,0.1891273393002441,0.1512414435578598,0.33624898291293737,0.2763983960468225,0.4983726606997559,0.41723034549799504,117044999.99999994,822.5941270815804,0.8854908037199275,0.07543453350099769,11.95130399547743,0.07543453350100107,0.023866734439258814,0.4662106135986733,0.8514285714285714
148763L_20180221_2_1_1_csafe_tpashek.tiff,148763L_20180221_2_2_1_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,toe,26214,19484,15.612144241036859,20.047343924695326,1.073370726542177,2.4461348433497236,8.261573768004354,20.481465066145557,40.02743211887637,43.40273864730675,0.019666272235633612,10,0.10338872819173608,288.148111886159,0.005306536948779703,10,0.05842808801555257,419.5260181272066,0.001510634070262624,10,-0.012619159769462625,0.125810635538262,0.16526380619995895,0.2219043259327077,0.28638883186204067,0.3156710154879072,0.39971258468486964,148582125.0,837.8008242210078,0.8866210551514595,0.0947048551907204,14.280780923989067,0.09470485519071299,0.02209796466114963,0.27596384430916804,0.8497109826589595
148647R_20180221_2_1_2_csafe_tpashek.tiff,148647R_20180221_2_2_2_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,toe,25152,18729,12.450601356501075,14.903881026795899,1.0701243023397993,2.4025885187868674,6.918867545676278,18.15667206758407,27.5736388105202,51.68317351438639,0.014509978867205042,13,-0.0074729335410715384,250.08435661918108,0.0051406574125150055,15,-0.029101844184735156,424.71994915181887,0.0015035964102475589,12,-0.07306520133919853,0.1318781806615776,0.1747023332799402,0.22519083969465647,0.2871482727321267,0.31647582697201015,0.3925463185434353,127904175.0,734.8216007509759,0.9036710990368518,0.08511347923936068,14.777239056662305,0.08511347923935852,0.02358105110784245,0.3117241379310345,0.8662790697674418
148763L_20180221_2_2_1_csafe_tpashek.tiff,148763L_20180221_2_2_2_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,toe,18873,19672,2.941912322067904,6.1607511760185405,0.521238188961802,0.9500920747394632,1.7069341803627514,3.0254643136679307,4.97695511277594,26.20168126949184,0.009555682047490405,11,0.0007130547085979819,199.01306472224664,0.0033717635471975007,11,-0.015713549902486672,177.70940129904437,0.001129616200802349,11,-0.3705212609209164,0.3752980448259418,0.3562932086213908,0.5944470937317862,0.5661346075640504,0.7651141842844275,0.7301240341602278,153458999.99999994,677.3867241902886,0.9125621799483079,0.1172453777427887,20.640170016826595,0.11724537774278258,0.06091216867138256,0.6564383561643835,0.9056603773584906
148763L_20180221_2_2_2_csafe_tpashek.tiff,148763L_20180221_2_1_2_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,toe,20048,26840,2.6019304648469133,4.342119867928723,0.5636652552500709,1.0236526963043446,1.8387325499933709,2.95858832055681,4.53529543402662,64.20542736238232,0.018563196157219953,17,-0.14405720358920615,48.31860691971363,0.004821407014220518,10,-0.4579646866785566,111.92374653800485,0.001447288253412005,17,-0.9235007661905541,0.3425778132482043,0.25592399403874816,0.5852952913008779,0.446274217585693,0.7756384676775738,0.6062965722801789,170560574.99999997,828.7564408725602,0.8934100179798288,0.10676964795126144,15.92958825608713,0.10676964795127206,0.04634032009643072,0.6142167011732229,0.8795180722891566
148647R_20180221_2_2_2_csafe_tpashek.tiff,148647R_20180221_2_2_1_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,toe,18400,16338,6.26328644350687,17.84449340850564,0.47940394062989977,1.2108403440050117,2.21988150708247,4.328340609957527,8.01697693165808,62.95365229775854,0.009414925924008395,27,0.058806467574508574,211.82923445766912,0.003291327599838835,10,0.08470995024321176,236.80845144938928,0.00116212838633705,10,-0.10131830030305135,0.2852173913043478,0.32017382788591014,0.4785326086956522,0.5269310809156568,0.6240217391304348,0.6839882482556005,195074999.99999994,543.916722333556,0.9230719561775186,0.16883350907796507,34.28538496543134,0.16883350907796218,0.06790863537151465,0.5897435897435898,0.869281045751634
148647R_20180221_2_2_1_csafe_tpashek.tiff,148647R_20180221_2_1_1_csafe_tpashek.tiff,148,148,True,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,toe,16399,25421,3.8130027702870315,6.788268963655555,0.6730431040187983,1.2724296296562074,2.4779266231178134,4.3876934359865505,6.689783602056662,59.383110919991395,0.019736643542168364,13,-0.14539632472369415,148.94061028505288,0.006210496203134679,22,-0.8178103572736269,180.97091300772684,0.0015084496869113876,28,-1.7220238128706609,0.266906518690164,0.17583887337240864,0.44264894200865906,0.3032925534007317,0.6075370449417647,0.42641910231698205,125563274.99999997,736.4851070043529,0.9027506373633675,0.08909164491272106,15.52943956452921,0.08909164491271791,0.03208041094537192,0.4476567964560504,0.8
150768R_20180221_2_2_2_csafe_dtmartin.tiff,150768R_20180221_2_1_2_csafe_dtmartin.tiff,150,150,True,Adidas/Seeley,Adidas/Seeley,10 M,10 M,R,R,toe,42396,50684,2.494587386620106,3.114232196371108,0.5293151611477795,0.9242334314404975,1.641119110290274,2.8837167672909034,4.8247893737834415,53.46023465894617,0.007748345989428752,21,-0.06661561432675217,27.88370186043028,0.002684493082623283,17,-0.12750853032188963,18.62237036784721,0.0008228557461138391,18,-0.3013009143473898,0.3861685064628739,0.3305579670112856,0.6160250967072365,0.5418080656617473,0.7748844230587791,0.6962157682897956,316931849.9999999,1767.880089740352,0.73434432715479,0.09141522256901664,6.952632347820389,0.09141522256902013,0.05526077097505669,0.6211855812667096,0.9313725490196079
