q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,centroid_distance_n_clusters_500,cluster_proportion_n_clusters_500,iterations_k_n_clusters_500,wcv_ratio_n_clusters_500,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,peak_value,MSE,SSIM,NCC,PSR,correlation_coefficient,jaccard_index_0,jaccard_index_-1,jaccard_index_-2
148763L_20180221_2_1_2_csafe_tpashek.tiff,108416L_20180214_2_1_2_csafe_tpashek.tiff,148,108,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,full,44765,49007,3.9485301079303325,5.139952796035449,0.7655517588703705,1.4512047258139682,2.9013987506106433,5.198414272914313,8.40932565177417,47.75116060643387,0.006838762353331871,13,-0.014846151440685391,30.98902585949063,0.002180951457667863,6,-0.09768381609890392,93.73682317347252,0.0007979042968311615,13,-0.19165901826623657,0.22171339215905284,0.21025567776031995,0.38172679548754607,0.368457567286306,0.5359991064447671,0.52431285326586,228432824.9999999,933.7018349945076,0.8738172013504816,0.06777685685968216,9.674018313059486,0.06777685685969245,0.030507170723666134,0.5521776627856835,0.9363957597173145
127413L_20180221_2_2_1_csafe_hanrahan.tiff,002054L_20180124_2_2_2_csafe_boekhoff.tiff,127,2,False,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,69080,68652,10.17385060734465,16.188127189405655,0.9953762093351016,2.040538346656841,4.331761828564895,9.103424891260687,27.9658284308907,106.19854508758561,0.01138268726899939,17,0.0990610970176919,110.95082496747699,0.0032596236909746756,29,0.056896120777989584,285.7398593339513,0.0010876530578682424,19,-0.08411592435272612,0.14312391430225826,0.1429965623725456,0.25511001737116384,0.2596428363339742,0.37518818760856976,0.38230495834061645,198196199.99999994,1464.0520850972123,0.7620003437436326,0.032868670846466046,3.757603720848256,0.03286867084646393,0.019444279962103267,0.4178214348359937,0.8294314381270903
067149R_20180207_2_1_2_csafe_boekhoff.tiff,140459R_20180221_2_1_2_csafe_hanrahan.tiff,67,140,False,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,R,R,full,48588,52652,4.818268759245815,5.629565579605772,0.7693063825425429,1.4908935528376925,2.973293906431473,5.865924768220712,11.381133349578203,75.77722129529012,0.009794853662264466,18,0.00029112646388624664,114.68964266928185,0.0032867595874464263,10,0.0482383854695531,123.1575545084267,0.0009090494040735027,12,-0.08228126696327284,0.21604099777722893,0.19482640735394666,0.3708117230591916,0.3299589759173441,0.5218160862764468,0.4553863101116767,198326249.99999997,1042.5815257046188,0.8577860976022365,0.05234354061802872,7.087108695386355,0.052343540618034874,0.03087660581818924,0.4926276730788009,0.9253246753246753
076650R_20180226_2_2_2_csafe_bpbryson.tiff,137736R_20180221_2_2_1_csafe_dtmartin.tiff,76,137,False,Nike/Winflo 4,Nike/Winflo 4,10 M,10 M,R,R,full,44488,43707,10.746845880176654,20.61448549872366,0.9523041679550184,2.027402439617399,4.450871483355503,10.632190257843549,23.453855686367994,79.99838118095326,0.014130651811000016,16,0.09815049159640485,231.330033365206,0.003777747477353064,12,-0.08020689101525404,319.1693144987456,0.0010660905290904134,19,-0.3047591900507755,0.15365941377450099,0.1582355229139497,0.26676856680453154,0.28006955407600614,0.3826200323682791,0.4049008168028005,148322024.99999988,878.1575741134125,0.8688151407875639,0.04492831605010602,7.264767736754022,0.04492831605010538,0.02283560452305016,0.37099176015089846,0.8158730158730159
023519L_20180124_2_2_2_csafe_boekhoff.tiff,108416L_20180214_2_1_2_csafe_tpashek.tiff,23,108,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,L,L,full,42460,49007,4.070005128223817,4.778774545432327,0.7583545031551495,1.452763956996396,2.8541729632895976,5.141897102638378,8.65203415579458,76.88211125575782,0.008716230956091305,18,-0.09204291735610029,31.62466625738707,0.002786703550960145,19,-0.16852294941841184,85.61421364673002,0.0010044540008106134,12,-0.3702223640966655,0.22164390014130947,0.19113596016895545,0.38389072067828545,0.3296671904013712,0.5397550635892605,0.4621788724059828,189612900.0,1009.8936988448366,0.8632296801432203,0.05612939805410379,7.728183983150093,0.05612939805409262,0.030365170754791386,0.4974370160322827,0.9097222222222222
014450L_20180124_2_2_1_csafe_boekhoff.tiff,093150L_20180214_2_1_2_csafe_tpashek.tiff,14,93,False,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,39301,50036,4.782426343743613,8.515819059873634,0.768499922951009,1.5033422862615837,2.945092534603496,5.435022401901317,8.984554564480678,114.08038818286107,0.01680790343199877,14,-0.21236991904968183,167.80952664726212,0.005276817504371551,21,-0.47415050594365005,123.20010232570979,0.0015718048868546741,14,-1.2038253726300803,0.2102491030762576,0.16488128547445838,0.3720007124500649,0.2923295227436246,0.5274929391109641,0.41693980334159403,166529024.99999994,970.8813532274795,0.8629447890089634,0.05029206135196915,7.346013274795209,0.05029206135196988,0.02759659960198318,0.4505655634687893,0.7598684210526315
134336R_20180221_2_1_2_csafe_hanrahan.tiff,053900R_20180124_2_2_1_csafe_hanrahan.tiff,134,53,False,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,full,54047,43426,12.184089105524185,19.048276580972605,0.9647844295849447,2.0448940700156912,4.732310732967192,13.053214676463078,31.99164218003244,80.62604545665467,0.013466212690379623,15,0.11943976733209354,146.7255784665128,0.004196005079935532,13,0.10533476858140306,657.3095347917132,0.0010921439410034404,9,0.028380819901040116,0.15264492016208114,0.19064615668032975,0.26203119507095674,0.32789112513240914,0.3709549096157049,0.45903375857781054,162172349.99999997,959.537497056041,0.864076321362904,0.0441337634490853,6.665395012216905,0.04413376344908459,0.02502446673050817,0.3753448111861505,0.8438538205980066
104052R_20180214_2_2_2_csafe_jekruse.tiff,048395R_20180124_2_2_1_csafe_jekruse.tiff,104,48,False,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,45311,46469,6.23380718259792,11.957163805848504,0.7980891901591057,1.5296885047496673,3.097905008873078,5.8947017080807464,11.511871744465456,55.0434424462247,0.007175989659695897,11,-0.0017139039256090006,273.9138938264071,0.0027103458785769823,13,0.03416812076391304,364.918133286829,0.0009447571865768687,13,-0.1734802543314716,0.20476264041844144,0.20370569627063204,0.3551896890379819,0.35569949859045813,0.501864889320474,0.5024640082635735,190588274.99999994,951.7459347751118,0.8637596595043474,0.05651019998214585,8.172533645684982,0.05651019998214392,0.03001425508749481,0.49356571081163236,0.8950617283950617
066782L_20180214_2_1_1_csafe_hanrahan.tiff,117217L_20180214_2_1_2_csafe_hanrahan.tiff,66,117,False,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,48593,46593,5.466382173818197,9.594572469395679,0.8283601380606476,1.5650723512318718,2.9943912374258232,5.413520474044604,9.900210417974113,72.58820502043424,0.010343210696690483,15,-0.020378140391867406,36.38638116679507,0.003313509019334084,13,-0.07636201566332906,170.63838885318077,0.0009832326117683804,14,-0.16952319071125138,0.19879406498878438,0.20584637177258386,0.35791163336283005,0.3664069710042281,0.5204659107278826,0.5270104951387548,184215824.99999994,943.616477786925,0.8671044706919786,0.05225652603475455,7.722428793944688,0.052256526034762586,0.02922977066205106,0.5289256198347108,0.8950819672131147
003859R_20180124_2_2_1_csafe_boekhoff.tiff,084563R_20180221_2_1_2_csafe_hanrahan.tiff,3,84,False,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,64944,73104,6.189240055376819,7.9322122182471935,0.9524695940761858,1.91041373237651,3.7999554354905674,6.958260906712868,13.25887401963921,128.6326038099859,0.011190305173367426,29,-0.10213488334302555,61.9105510104249,0.0033358866440868534,28,-0.16224500223731111,238.50714324016147,0.0010496146765510913,22,-0.2922154970406264,0.15741254003449126,0.13855602976581308,0.2820429908844543,0.24916557233530312,0.41836043360433606,0.3681604289778945,204243524.99999988,1627.8316404052682,0.7305876092486348,0.03296464321583444,3.484900561250871,0.03296464321583443,0.02051779121131179,0.4359224414869206,0.8525641025641025
