q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,kurtosis,centroid_distance,cluster_proprtion,iterations_q,iterations_k,wcv,q_pct,k_pct
001732L_20180418_2_2_2_csafe_jekruse.tiff,001732L_20180418_2_2_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,20693,20695,3.853335610768276,8.367055033667961,0.7747519731777175,1.429311686476229,2.5294023561534837,3.8838574950511395,5.511569797431387,105.25968896865864,42.915933461428835,0.007544090358055568,14,9,0.07424429150702114,0.6277001884695308,0.6387050012080212
001351R_20171031_2_1_2_csafe_bpbryson.tiff,001351R_20171031_2_1_1_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,25449,26256,3.7181495011804557,7.008431298658276,0.6754020607012224,1.2066714476423621,2.305578782618581,3.7321594104914646,5.917953436598385,111.50209564933485,30.36169371212582,0.012146009661470997,17,10,-0.03411092953580847,0.6570395693347479,0.6200868372943327
001732L_20180418_2_1_1_csafe_jekruse.tiff,001732L_20180418_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,23566,23491,8.008112585963516,13.495921400166715,0.9187687171013991,1.8846850328584384,3.9055090463401196,8.336750401452566,18.3393146599025,31.800757931713946,49.27362208970052,0.009970782091908385,8,13,0.019513860019441477,0.4094033777476025,0.40658124388063516
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,26728,25532,3.6977961658650735,5.155124388855097,0.6679837555287267,1.226172533484414,2.3650227480003956,4.31432737419402,6.911192935846742,46.087295875794425,63.647770376354714,0.00801085087493093,7,25,-0.08562616032527949,0.6190137683328345,0.6517311608961304
001351R_20180228_2_1_2_csafe_jekruse.tiff,001351R_20180228_2_1_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,26002,26419,3.5276720642237565,8.239385030560303,0.5649914209840785,1.026087468638048,1.924336598589465,3.356130204866533,6.122633646767414,130.340128868618,58.14392629274087,0.010687572611152024,13,25,0.03566546175903059,0.7245596492577494,0.711949733146599
001732L_20180228_2_1_1_csafe_jekruse.tiff,001732L_20180228_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,24945,27111,2.4792157434874826,2.5995839512324923,0.5939641638156741,1.0448406454124168,1.8348911504489847,3.176503422500133,4.70193449805502,55.481312847130205,49.73499355178897,0.005997127624976254,14,15,-0.05424200715513536,0.7443976748847464,0.6943675998672125
001732L_20171031_2_2_2_csafe_bpbryson.tiff,001732L_20171031_2_2_1_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,22437,22394,2.9243590980456386,8.764097658388971,0.5404629340575464,0.975073431151321,1.7250577063505186,2.9158559062643534,4.323259379376333,168.20073356879234,24.62981465064124,0.007706682806754868,7,7,0.003667954826788404,0.7763961313901145,0.7610520675180852
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,25846,27279,3.400211907037346,4.373903478362299,0.6729968777637425,1.2368649794514492,2.3360808068626797,3.9931631387529207,6.180814804761701,34.19505414802217,71.63173626996695,0.010313869696106504,6,20,0.008441278294796304,0.6402151203280972,0.6169580996370835
001732L_20180228_2_2_1_csafe_jekruse.tiff,001732L_20180228_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,16893,16477,2.8367398027393014,3.0945153002298404,0.6746708408909173,1.2084213877664172,2.1821179245913482,3.500281787435177,5.258684219145186,81.15501368287045,22.555046401929086,0.011159804354396959,9,6,-0.011663881681184977,0.690937074527911,0.6893245129574559
001732L_20171031_2_1_1_csafe_bpbryson.tiff,001732L_20171031_2_1_2_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,26179,23882,4.081062317074522,10.178095641230806,0.585858477906388,1.0951906464867838,2.015255178120657,3.3649052576902942,5.769198136109653,74.8490172830749,47.00733701376454,0.00770450385013226,9,9,0.02556184635455695,0.7169868978952596,0.767146805125199
001351R_20171031_2_2_1_csafe_bpbryson.tiff,001351R_20171031_2_2_2_csafe_bpbryson.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,21872,20329,6.024273283422081,11.167059388231456,0.9882969209011373,1.977353600033432,3.7631664821171302,6.482578765768792,10.925189375791017,144.57084018177932,28.11394286320938,0.010687636526095627,9,7,0.0422540463743788,0.4161027798098025,0.4612130454031187
001351R_20180418_2_1_1_csafe_jekruse.tiff,001351R_20180418_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,23607,24928,15.281387760676957,19.48841216902501,1.2269495790138738,2.5997924022192116,6.184327022888943,22.590814197607312,40.89400190781021,5.869629712200361,123.9079438957218,0.014875943290354061,8,28,0.04570633268904435,0.3025373829796247,0.2968148267008986
001351R_20180124_2_2_1_csafe_jekruse.tiff,001351R_20180124_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,24091,20517,3.589904223706051,6.11450933701877,0.7639242310242226,1.3151055494924262,2.3327153716784417,3.7747251504863915,5.859351360502986,75.2738529344162,56.63499197489301,0.007925920441052219,6,14,-0.02216371760518537,0.6489560416753144,0.7082906857727738
001732L_20180124_2_2_1_csafe_jekruse.tiff,001732L_20180124_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,20926,16970,4.532033055218746,6.629148157407064,0.8700742525807961,1.6343028212238608,3.0966823063497664,5.0432142346060616,7.916210943136422,67.52207326923825,28.654465781073533,0.011535608613651018,10,6,0.019118670003739006,0.5096530631749976,0.5897466116676487
001351R_20180418_2_2_1_csafe_jekruse.tiff,001351R_20180418_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,19806,18161,5.42633660825112,9.129938656116435,1.0550688958595382,2.1048438169084145,3.845763316711817,6.002996636619817,8.564908755067322,63.904403726781155,61.24638564526057,0.009812489898354315,26,19,-0.07438025697194213,0.40260527112996064,0.42194813060954794
001351R_20180228_2_2_1_csafe_jekruse.tiff,001351R_20180228_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,19224,17514,5.579883912471643,10.113081187961907,0.7522754925643307,1.3622291012782128,2.8703770114457576,5.565054859529734,10.234213799432485,30.58393140682326,48.567952756531696,0.014012779171734352,13,12,0.02719614993772717,0.534019975031211,0.5597807468311066
002054L_20180411_2_2_2_csafe_tpashek.tiff,002054L_20180411_2_2_1_csafe_tpashek.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,toe,37377,31993,2.6456620822547654,4.898943362894212,0.6071927971377145,1.0379037231033144,1.8135225367494447,2.9843421097117098,4.609837072714377,1254.3870334988774,45.182316734227314,0.006408671758708057,11,21,0.04910612791159209,0.7613505631805656,0.8204294689463321
002898R_20180124_2_2_2_csafe_boekhoff.tiff,002898R_20180124_2_2_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,toe,36217,32925,2.3366411117116677,2.1996758146651163,0.5614864938160136,0.9810383295006829,1.7396931652624354,2.956167162698279,4.644617238444961,20.987138793008466,23.713634980333286,0.007703390740077624,27,8,0.022501557218914482,0.7610238285887843,0.7950493545937737
002898R_20180228_2_1_2_csafe_hanrahan.tiff,002898R_20180228_2_1_1_csafe_hanrahan.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,toe,36909,37881,5.940035337706226,6.977540213743285,0.9375997866738242,1.869998687914036,3.6975787665857762,6.9198701609801505,13.713796792771557,13.49544630524855,44.612837786638586,0.0053653163614256144,26,16,-0.018535140847842285,0.42873012002492616,0.4114199730735725
002054L_20180228_2_2_1_csafe_hanrahan.tiff,002054L_20180228_2_2_2_csafe_hanrahan.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,toe,29957,41236,4.987104580465958,5.682800492160531,0.7956595631703891,1.4924636127162811,3.153414165238236,6.254610994275816,10.466594635393,15.087779424733675,47.44420964631133,0.010024408427105428,12,16,-0.15903676176427772,0.49270621223754046,0.392060335629062
