q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10,peak_value,MSE,SSIM,NCC,PSR,jaccard_index_0,jaccard_index_-1,jaccard_index_-2,mated
50977,47526,3.148566873126983,4.362798916427268,0.6235839922991699,1.1328126633117943,2.146370837735673,3.66415443884224,5.818210472346531,23.60627351030828,0.0050204895824018,5,-0.0137646751917018,22.95852675497117,0.0021501728780759,13,0.0019736454883244,0.2972124683680875,0.3172368808652106,0.4964003374070659,0.5292050667003324,0.6752653157306236,0.7131254471236796,0.8686662612550758,0.900496570298363,0.9631990897855895,0.9816100660690992,302041124.99999964,890.968354735616,0.8805764240455756,0.0874737110738685,12.483459218155735,0.0474038471762916,0.633177570093458,0.9319526627218936,True
50604,46263,4.417046755361803,11.404931200739917,0.599344455719309,1.0907110279209102,2.0201342818657877,3.490844773882043,6.0618792375420725,37.75332443285752,0.0089938321611877,7,0.0167292990757912,28.502004574182333,0.0026563947735518,16,0.0499165529229534,0.3162200616552051,0.3423254004279878,0.5267567781203067,0.5678836219008712,0.7032448027823888,0.7513563755052634,0.8721444945063631,0.9221408036659966,0.9409730456090428,0.9843935758597584,307178099.9999999,996.2448129683256,0.8679558918635653,0.0901022006483185,11.534070223880208,0.0507596009649866,0.6514583333333334,0.9436201780415432,True
47526,40661,7.9147038716787215,19.366558650072587,0.767063161668579,1.4303285366716314,2.7200939315391115,4.584188159991802,9.974938977759816,38.10251387321733,0.0068238038152249,7,0.0267021960734888,260.5116027371403,0.0026579732338983,7,0.0845518445130511,0.2230568530909397,0.2566095275571186,0.3961621007448554,0.4544403728388382,0.5725287211210706,0.6511399129386882,0.7941337373227286,0.879270062221785,0.9007701047847494,0.9830058286810456,238316624.9999999,792.625797611059,0.8878475161697676,0.077318204639436,12.58933341854458,0.0353987499412566,0.5948193156379917,0.9069069069069068,True
46263,44615,3.034812740012379,6.070186496009338,0.5692074426161186,1.0045811901754709,1.8106814965829068,3.205635677155456,5.236118498319438,47.34338819145808,0.0079397457119158,10,0.0307898047175199,21.771976629960022,0.0025539754472822,9,0.0094840541868463,0.3513174675226422,0.3642721057940155,0.5714069558826708,0.5994396503418133,0.7383005857812939,0.7778773954947887,0.8941486717247044,0.9329597668945422,0.966366210578648,0.9864171242855542,325970324.99999976,803.2853470099219,0.8937564781794871,0.1041257034055937,15.8961892498996,0.0539891673722179,0.6807522374532684,0.9228395061728396,True
40661,37117,4.644035841429576,10.958413640786024,0.6213966196567094,1.1659036887018814,2.194279417162788,3.853140038199146,7.272877575981536,89.53609059975062,0.0087846325855355,14,0.0807799335125042,206.99200382810832,0.003014710434048,13,0.0336344805928846,0.2898600624677209,0.3151116738960584,0.4906175450677553,0.5291645337715871,0.6655517572120705,0.7156558989142442,0.8353705024470623,0.8991297788075545,0.9293918004967904,0.9801708112185792,231749100.0,760.9151390437667,0.894743204010894,0.0858790681913108,14.260408343456156,0.0480336397207471,0.6223339053689629,0.9082278481012658,True
44615,49317,2.380094533976708,4.722365029913822,0.5545816821001635,0.9703031155707478,1.7266368908829728,2.8998424784142296,4.433897258465909,49.48728034983259,0.0082309577420498,6,-0.1028220924505436,33.6622861018821,0.0029831867360251,25,-0.154993174744503,0.3672979939482237,0.3314678508425087,0.6010758713437184,0.5396516414218221,0.7788187829205424,0.6991909483545228,0.92749075423064,0.84995032139019,0.9866860921214838,0.9235152178761888,329936850.0,858.2274003289288,0.8855906327124088,0.1015353582198884,14.639263784064704,0.0524015999462203,0.6324237560192616,0.9209726443768996,True
63896,73144,3.182572417335511,6.160691477647612,0.6104227514799053,1.0284544063286365,1.8567303934705628,3.223359874746492,5.084629003792028,53.14075829641693,0.0082742723416751,11,-0.084762382017243,47.75528095782267,0.0023089179266234,19,-0.081017355259379,0.3299111055465131,0.2897161763097451,0.5538061850507074,0.4930411243574319,0.7290910229122324,0.6550639833752597,0.9005884562413923,0.8251667942688395,0.9621729059722048,0.9159602974953516,461417399.99999976,1247.7314038162358,0.8202721295832062,0.094127538129597,9.720553086740193,0.0427401804872852,0.6369951644759245,0.9350180505415162,True
73144,65090,3.765807106077735,6.86193358619543,0.6141469757843487,1.0561772535345322,1.9696528975520533,3.623023902698708,6.992412344623209,44.63097873556679,0.006157633720193,8,0.0064983205502875,48.97447854076229,0.0020838613914026,24,0.031115358984168,0.3178524554303839,0.3542326010139806,0.5264273214481023,0.5819480719004455,0.6885458820955923,0.7583499769549854,0.8480668270808268,0.91224458442157,0.9305069452039813,0.9630511599324012,482680574.9999997,1318.7210682960792,0.8124005603589687,0.0973453712296533,9.486080880918593,0.048569759768188,0.6443537414965986,0.9042553191489362,True
65090,76616,2.536341428592933,4.272007028320686,0.5542714722853338,0.9692778281461134,1.7454061660218971,3.0481610243452737,4.693651044535961,55.26049460572975,0.0052310255097184,10,-0.0646722581691821,40.77430202912896,0.0019322517745419,23,-0.1292397961171139,0.3607005684436933,0.307703351780307,0.5846981103088031,0.5051555810796701,0.757243816254417,0.6632948731335492,0.9212628667998156,0.8284039887229822,0.9818712551851284,0.9177847969092616,451403549.99999976,1573.7571475884104,0.7743138910788074,0.0860933698311323,7.35227643747743,0.0504403522818254,0.6353197386656108,0.9326241134751772,True
81347,68892,5.013314192634566,12.411184882826078,0.5951265973103287,1.0053641909778053,1.8127201994570217,3.3283903435609563,8.715273822611008,94.1363055378504,0.0090215670530485,22,0.1270314699846612,100.2726996805634,0.0027902159463032,20,0.0673962150541778,0.3426063653238595,0.4009754398188468,0.5655402166029478,0.6485368402717296,0.7219565564802636,0.8194710561458515,0.8519183251994542,0.952737618301109,0.9082449260575068,0.9926551704116588,546665175.0000002,1442.4781183256405,0.7997825892233857,0.1011180623570089,9.022752650590917,0.053532484835735,0.6841726147600026,0.889273356401384,True
