Test Scenario,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
BLURRY_02,0.8849,0.834,0.96,0.893,0.885,0.96,0.81
BLURRY_04,0.9127,0.894,0.937,0.915,0.913,0.937,0.889
BLURRY_06,0.8929,0.89,0.897,0.893,0.893,0.897,0.889
BLURRY_08,0.873,0.97,0.77,0.858,0.873,0.77,0.976
BLURRY_10,0.6468,1.0,0.294,0.454,0.647,0.294,1.0
