col,km_kst,knm_kst
mean,0,0
std,0,8.120615291318245e-12
0.1,0,0
0.25,0,0
0.5,0,0
0.75,0,0
0.9,0,0
centroid_distance_n_clusters_10,0,0
cluster_proportion_n_clusters_10,0,0
iterations_k_n_clusters_10,1.2212453270876722e-14,9.857622829123613e-9
wcv_ratio_n_clusters_10,7.714541228054372e-9,2.710025679419914e-7
centroid_distance_n_clusters_20,0,0
cluster_proportion_n_clusters_20,0,0
iterations_k_n_clusters_20,1.376067038094675e-10,1.1337664140853576e-10
wcv_ratio_n_clusters_20,2.3998124154545053e-8,2.8515554140184918e-8
centroid_distance_n_clusters_50,1.1102230246251565e-16,1.1258947068149006e-4
cluster_proportion_n_clusters_50,0,0
iterations_k_n_clusters_50,9.010222568051063e-10,3.310787713994845e-4
wcv_ratio_n_clusters_50,0,0
centroid_distance_n_clusters_100,7.911199986221362e-6,0.06753023914978074
cluster_proportion_n_clusters_100,0,0
iterations_k_n_clusters_100,0.04481071394713165,0.0029636086754225577
wcv_ratio_n_clusters_100,0,0
centroid_distance_n_clusters_500,0,0
cluster_proportion_n_clusters_500,0,0
iterations_k_n_clusters_500,1.2467233100521558e-4,0.013863353839758896
wcv_ratio_n_clusters_500,0,0
centroid_distance_n_points_per_cluster_10,0.0011431654507254585,1.0063061495202419e-12
cluster_proportion_n_points_per_cluster_10,0,0
iterations_k_n_points_per_cluster_10,0,0
wcv_ratio_n_points_per_cluster_10,0,0
centroid_distance_n_points_per_cluster_30,3.3668623444782497e-12,6.699963694956068e-8
cluster_proportion_n_points_per_cluster_30,0,0
iterations_k_n_points_per_cluster_30,0,0
wcv_ratio_n_points_per_cluster_30,0,5.281786119581966e-11
centroid_distance_n_points_per_cluster_100,1.584143117305814e-5,1.4281005378258271e-8
cluster_proportion_n_points_per_cluster_100,0,0
iterations_k_n_points_per_cluster_100,1.013763471091611e-5,0.014479760347594905
wcv_ratio_n_points_per_cluster_100,0.048081915701856826,0.09238086741207052
centroid_distance_n_points_per_cluster_1000,0,0
cluster_proportion_n_points_per_cluster_1000,0,0
iterations_k_n_points_per_cluster_1000,0.011175329693192348,0.8400493486172005
wcv_ratio_n_points_per_cluster_1000,0.001444447406240612,5.254148055118257e-4
q_pct_threshold_1,0,0
k_pct_threshold_1,0,0
q_pct_threshold_2,0,0
k_pct_threshold_2,0,0
q_pct_threshold_3,0,0
k_pct_threshold_3,0,0
q_pct_threshold_5,0,0
k_pct_threshold_5,0,0
q_pct_threshold_10,0,0
k_pct_threshold_10,0,0
peak_value,0,0
MSE,0,0
SSIM,5.373479439185758e-13,0
NCC,0,0
PSR,0,1.0892838511755709e-4
correlation_coefficient,0,0
jaccard_index_0,0,0
jaccard_index_-1,0,0
jaccard_index_-2,0,0
