col,km_kst,knm_kst
mean,2.2590959962709434e-6,-8.881784197001252e-16
std,6.609490732500944e-11,2.6978419498391304e-14
0.1,4.689778787536625e-9,7.771265368994307e-7
0.25,8.156833875005987e-9,6.084069692491312e-9
0.5,3.0157938368802206e-9,9.334422124140929e-11
0.75,2.1491000379292302e-7,1.532107773982716e-14
0.9,0.005621850530346029,-8.881784197001252e-16
centroid_distance_n_clusters_10,0,-8.881784197001252e-16
cluster_proportion_n_clusters_10,9.09394104524619e-5,0.002882115470491997
iterations_k_n_clusters_10,4.8814174013811495e-5,3.207767218704749e-5
wcv_ratio_n_clusters_10,0.05558881505478297,0.0017677278094223592
centroid_distance_n_clusters_20,4.440892098500626e-16,-8.881784197001252e-16
cluster_proportion_n_clusters_20,2.1646868519908935e-8,2.981315350147895e-8
iterations_k_n_clusters_20,1.8714964145072344e-7,0.010831702123625941
wcv_ratio_n_clusters_20,0.002035575722728278,1.2146437214033412e-5
centroid_distance_n_clusters_50,3.750026622562075e-9,2.496003403962277e-12
cluster_proportion_n_clusters_50,5.072768408227457e-4,1.3202271583789837e-4
iterations_k_n_clusters_50,2.44875295205671e-4,4.072939341348558e-8
wcv_ratio_n_clusters_50,2.313479462139334e-4,8.38075256892612e-6
centroid_distance_n_clusters_100,0.013495558844956568,1.601425572861359e-5
cluster_proportion_n_clusters_100,0.00603581303802736,0.0032445470101591933
iterations_k_n_clusters_100,0.4372042183844632,0.013808360916645612
wcv_ratio_n_clusters_100,0.08580259071259233,0.01137648750854614
centroid_distance_n_clusters_500,0.03789320478722957,0.07030243737008846
cluster_proportion_n_clusters_500,2.9797459610847454e-8,8.014473957818069e-7
iterations_k_n_clusters_500,0.10222232752903337,0.049968728442956745
wcv_ratio_n_clusters_500,6.45718600781886e-4,7.557646728506562e-5
centroid_distance_n_points_per_cluster_10,0,-8.881784197001252e-16
cluster_proportion_n_points_per_cluster_10,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_10,0.7284200882545262,0.30667153820525084
wcv_ratio_n_points_per_cluster_10,0.2993675599090837,0.49073780916929755
centroid_distance_n_points_per_cluster_30,2.9018360936383658e-8,1.5698553568199713e-13
cluster_proportion_n_points_per_cluster_30,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_30,0.898263991402221,0.8467483228096718
wcv_ratio_n_points_per_cluster_30,0.03173621834739615,0.4534750203920146
centroid_distance_n_points_per_cluster_100,1.462765464310678e-10,3.072630061495829e-8
cluster_proportion_n_points_per_cluster_100,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_100,0.23224967762961524,0.8526345193563191
wcv_ratio_n_points_per_cluster_100,0.1691558598677434,0.254693941382409
centroid_distance_n_points_per_cluster_1000,5.814513613922045e-7,2.936839660350188e-11
cluster_proportion_n_points_per_cluster_1000,0,-8.881784197001252e-16
iterations_k_n_points_per_cluster_1000,2.1196066690709614e-7,1.5786696243580423e-6
wcv_ratio_n_points_per_cluster_1000,0.018393037409809354,0.0013815240123533634
q_pct_threshold_1,5.427345461939126e-9,2.726009040721067e-8
k_pct_threshold_1,3.910942014684338e-9,0.003324388957691937
q_pct_threshold_2,3.595443942572274e-9,1.0437890551884266e-9
k_pct_threshold_2,5.697538218996101e-9,1.7094223888913795e-4
q_pct_threshold_3,2.371452367810889e-9,3.744959897744593e-11
k_pct_threshold_3,4.2533822020018874e-9,1.911014016098278e-5
q_pct_threshold_5,1.7701825894000933e-8,1.2434497875801753e-14
k_pct_threshold_5,1.6140782044260504e-9,7.158101246185211e-7
q_pct_threshold_10,1.1104770436531908e-9,1.6653345369377348e-15
k_pct_threshold_10,1.535134908081659e-9,0.006234925669628355
peak_value,0,0
MSE,0,-8.881784197001252e-16
SSIM,0,-8.881784197001252e-16
NCC,0.006721408066587942,-8.881784197001252e-16
PSR,4.078450910327547e-10,-8.881784197001252e-16
correlation_coefficient,0.006721408066587942,-8.881784197001252e-16
jaccard_index_0,3.8725489481805653e-10,1.7440014573577578e-4
jaccard_index_-1,2.809204348919181e-6,-8.881784197001252e-16
jaccard_index_-2,0.0012405447587501284,2.6307713452133896e-8
