col,kld1,kld2,kst,overlap
mean,3.8594743917854717,1.6634146195586172,0.49858217807102084,0.6375902138776391
std,1.9798617787925998,1.3371097132045635,0.2836524204907703,0.7998285522007585
0.1,3.075433866209083,1.3052748821487872,0.5215128993995107,0.5212157878497171
0.25,3.1202822660883514,1.6635545133859149,0.5154709392838609,0.5216056672560698
0.5,3.321097632307936,1.4770511035879277,0.5214572985395508,0.497636976493355
0.75,3.653464384490188,1.8040920263619111,0.5245755801023056,0.5499488914303974
0.9,3.6353541843287838,1.8522419113060127,0.5153643709689377,0.6800861616141999
centroid_distance_n_clusters_10,0.7637416641915975,0.9557247491778238,0.20492623619245312,0.8212865659290673
cluster_proportion_n_clusters_10,1.0756010808405254,1.1518515630162787,0.13928942100971162,0.8743310714053536
iterations_k_n_clusters_10,0.1689929438751836,0.19756112938576245,0.12305396990140116,0.8881636477744916
wcv_ratio_n_clusters_10,1.130934541321048,1.0288793053010221,0.06127214767588404,0.9322747646754407
centroid_distance_n_clusters_20,0.4405520658950673,0.4298791664790668,0.20058010230558235,0.8181600627250029
cluster_proportion_n_clusters_20,1.1783845920485116,0.9615455562527327,0.18044795759507748,0.8423910399842699
iterations_k_n_clusters_20,0.1556361320462645,0.17338812452157276,0.18428441693231523,0.8326082495229129
wcv_ratio_n_clusters_20,0.9444891701966484,0.8442259927599857,0.08094558529171916,0.9306869592162038
centroid_distance_n_clusters_50,0.8666712012802094,0.8471583665415001,0.18848228185929278,0.8225705117692901
cluster_proportion_n_clusters_50,1.3283573886995654,1.2633697678173046,0.23085940395878124,0.828072684675827
iterations_k_n_clusters_50,0.15591093740114387,0.17763378199469068,0.07848988064348732,0.9270172271162053
wcv_ratio_n_clusters_50,1.145336324156531,0.9198084854565938,0.08216880421083844,0.9399944553750286
centroid_distance_n_clusters_100,1.0550343758213,1.1446270179974094,0.18056842612499074,0.8846927070374679
cluster_proportion_n_clusters_100,1.254158499211903,0.9184371792488767,0.2308501371487879,0.8525057820996534
iterations_k_n_clusters_100,0.0884335448668148,0.13854902622257087,0.0998498776781081,0.9120693432091332
wcv_ratio_n_clusters_100,1.0934247357908757,0.9260933784774928,0.06392708873897247,0.9392166807494691
centroid_distance_n_clusters_500,1.4055447828947158,1.5903418312562803,0.2644191563496182,0.7794651839024803
cluster_proportion_n_clusters_500,1.1024307094482348,0.9865321676129547,0.2215462599154867,0.9099318351362833
iterations_k_n_clusters_500,0.1661999232029629,0.1178207308097921,0.12915616428200757,0.8727005235012454
wcv_ratio_n_clusters_500,0.612279408212311,0.3148231921043198,0.11853640002965377,0.884458958534215
centroid_distance_n_points_per_cluster_10,1.0761865049927546,0.9130689505520864,0.30112035732819337,0.728327268764553
cluster_proportion_n_points_per_cluster_10,0.5724622989060134,0.4923315836309794,0.07298539550745053,0.9776379497137524
iterations_k_n_points_per_cluster_10,0.08809031285925666,0.0673046194836324,0.13661131292163986,0.6860384693895681
wcv_ratio_n_points_per_cluster_10,0.33374336335501337,0.167947834605871,0.13851100897027205,0.862185471931594
centroid_distance_n_points_per_cluster_30,1.7376889318799638,1.650436985749883,0.30982189191192827,0.7220876525030343
cluster_proportion_n_points_per_cluster_30,0.6632560385272738,0.6484660906955916,0.1077683668174068,0.9745405986730609
iterations_k_n_points_per_cluster_30,0.18860540900592396,0.15078895476546514,0.18514623026169472,0.8169194578137918
wcv_ratio_n_points_per_cluster_30,0.17069841673182345,0.06870887638362153,0.17775131588701903,0.8421741756194465
centroid_distance_n_points_per_cluster_100,1.1913664137395796,1.3661692677082506,0.17918303803098823,0.8562121533331954
cluster_proportion_n_points_per_cluster_100,0.6462417420073102,0.6928831584155439,0.13458188153310105,0.9699171285774701
iterations_k_n_points_per_cluster_100,0.2108314380607248,0.23601572944302665,0.12285010008154794,0.8792695709652577
wcv_ratio_n_points_per_cluster_100,0.9288045067509147,0.6393661871314867,0.09003632589517382,0.9114524750961035
centroid_distance_n_points_per_cluster_1000,0.5573905581152292,0.5747721433927597,0.20830398843502115,0.8043052643255122
cluster_proportion_n_points_per_cluster_1000,1.1254398235972862,0.8328131775979916,0.15945399955519313,0.8622603782091058
iterations_k_n_points_per_cluster_1000,0.11273677964349056,0.15183052104311556,0.10928812365631257,0.9079755320876042
wcv_ratio_n_points_per_cluster_1000,1.02898674357746,0.8443993608051608,0.061198013195937415,0.943659385567111
q_pct_threshold_1,3.028070783356601,2.1234757453526565,0.5230558232633998,0.48520733351183193
k_pct_threshold_1,2.8588922055338784,1.975081114336047,0.5124962932760027,0.49172391898308876
q_pct_threshold_2,3.295822377865427,2.269409121981155,0.5215406998294907,0.4867620897501708
k_pct_threshold_2,2.7741873542376836,1.6134581225380602,0.507969456594262,0.4981692121372646
q_pct_threshold_3,3.428585883325727,2.3980148162768096,0.529120950404033,0.4936731916195103
k_pct_threshold_3,2.9012420500128497,1.9361916878808174,0.48510823634072203,0.518222591890834
q_pct_threshold_5,3.4659214931993043,2.3114621022509985,0.5245246126473423,0.5255337672185869
k_pct_threshold_5,2.785578072513298,1.6833998135928123,0.42547631403365704,0.5766608870507005
q_pct_threshold_10,3.0010671779905453,1.6995975613672092,0.47118485432574686,0.6671227739016682
k_pct_threshold_10,2.2064557143062644,1.0875726108473565,0.33705241307732225,0.7010206326143187
peak_value,1.675016169478578,1.233344636484918,0.44426477129512937,0.5674258821171744
MSE,0.8745322457674581,0.8836290203001429,0.06321354436948629,0.9487474825966138
SSIM,0.6044242827923814,0.506422929317686,0.16161779968863518,0.862532652325274
