col,kld1,kld2,kst
mean,3.8381322335795183,1.6750041589490832,0.5553869499241275
std,1.7152931731805896,1.224583287130438,0.25948406676783003
0.1,4.225550177981028,2.8543282157494114,0.7435508345978756
0.25,4.107042287111979,2.8766481701590463,0.74051593323217
0.5,4.012758568277862,2.5035559328980166,0.7420333839150228
0.75,4.162286967826394,2.2477126539215604,0.7101669195751138
0.9,4.0220588038864795,1.9612292353462293,0.6191198786039454
kurtosis,0.7248470571437835,0.3286449667220752,0.27162367223065254
centroid_distance_n_clusters_10,1.1092427371608018,1.1789322859809528,0.21547799696509864
cluster_proprtion_n_clusters_10,1.0270372469293314,0.9022957179542807,0.20030349013657056
iterations_k_n_clusters_10,0.13215290887579792,0.18641872996892686,0.1456752655538695
wcv_ratio_n_clusters_10,1.1547135627788492,1.044846546774002,0.05918057663125949
centroid_distance_n_clusters_20,0.7351812681490882,0.865436390156128,0.25948406676783003
cluster_proprtion_n_clusters_20,0.937694890249744,0.783169736505847,0.24430955993930198
iterations_k_n_clusters_20,0.17051194751554682,0.324906225385662,0.17298937784522003
wcv_ratio_n_clusters_20,1.323028055083446,1.2435799871421533,0.07738998482549317
centroid_distance_n_clusters_50,0.9419999417420252,1.0630773040642723,0.27314112291350534
cluster_proprtion_n_clusters_50,1.1781913155355161,0.8238043583208253,0.2867981790591806
iterations_k_n_clusters_50,0.1491903119178282,0.24626246812635177,0.15933232169954478
wcv_ratio_n_clusters_50,1.0296838003924733,1.0026860358628462,0.07890743550834597
centroid_distance_n_clusters_70,1.1608268737027687,1.1788536785686106,0.2534142640364188
cluster_proprtion_n_clusters_70,1.5300616706375647,1.0134802797610902,0.283763277693475
iterations_k_n_clusters_70,0.13482620874877638,0.18955372626538308,0.11229135053110774
wcv_ratio_n_clusters_70,1.0909351204963267,1.0071322653606256,0.08801213960546282
centroid_distance_n_clusters_100,1.2307947553525842,1.2157063826332117,0.22003034901365706
cluster_proprtion_n_clusters_100,1.2342279181469544,0.9706067147481837,0.27617602427921095
iterations_k_n_clusters_100,0.11023153226483332,0.15494321423700205,0.09104704097116845
wcv_ratio_n_clusters_100,1.1050711795149382,0.918067458754148,0.07132018209408195
q_pct_threshold_1,4.132937975646788,3.2546896735464204,0.7465857359635812
k_pct_threshold_1,4.285633697899997,4.075428389992604,0.7708649468892261
q_pct_threshold_2,4.317442640480246,3.208639250742807,0.7496206373292869
k_pct_threshold_2,4.389393584181905,3.9135849208124034,0.7693474962063733
q_pct_threshold_3,4.26598721766999,3.684389039108421,0.74051593323217
k_pct_threshold_3,4.530235926078128,3.878266889976477,0.7678300455235205
q_pct_threshold_5,4.296231163982105,3.0514756489981765,0.7025796661608498
k_pct_threshold_5,4.530215485737341,3.7490091176041345,0.7283763277693476
q_pct_threshold_10,3.7529855835838113,1.7536382475248884,0.5720789074355084
k_pct_threshold_10,3.8051606508220663,2.050390683927513,0.6100151745068285
