q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_10,cluster_proportion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proportion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,centroid_distance_n_clusters_500,cluster_proportion_n_clusters_500,iterations_k_n_clusters_500,wcv_ratio_n_clusters_500,centroid_distance_n_points_per_cluster_10,cluster_proportion_n_points_per_cluster_10,iterations_k_n_points_per_cluster_10,wcv_ratio_n_points_per_cluster_10,centroid_distance_n_points_per_cluster_30,cluster_proportion_n_points_per_cluster_30,iterations_k_n_points_per_cluster_30,wcv_ratio_n_points_per_cluster_30,centroid_distance_n_points_per_cluster_100,cluster_proportion_n_points_per_cluster_100,iterations_k_n_points_per_cluster_100,wcv_ratio_n_points_per_cluster_100,centroid_distance_n_points_per_cluster_1000,cluster_proportion_n_points_per_cluster_1000,iterations_k_n_points_per_cluster_1000,wcv_ratio_n_points_per_cluster_1000,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10,peak_value,MSE,SSIM,NCC,PSR,correlation_coefficient,jaccard_index_0,jaccard_index_-1,jaccard_index_-2
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,28929,27513,4.401109322090072,5.095723794113418,0.7777811229683305,1.512220217379704,2.9204377722314647,5.610329121186614,9.23647921759489,39.34496598634955,0.011201978418578527,6,-0.012738128055656585,59.568898433155404,0.006062387138681659,16,0.0186029562405274,27.44573451722858,0.00399698054147459,10,-0.027886961912498474,23.545937090359978,0.00324408815172267,14,0.005926622766940318,92.47181551335947,0.0009799230044954396,12,-0.07214648321405434,525.6725663407994,0.0002681129686239337,5,-0.6794879004637201,266.5128849978788,0.0006707427551580835,11,-0.22316658106649087,63.29930737890465,0.0013515677270078811,13,-0.03033501571082747,34.82677413256171,0.006995995813604618,11,-0.03163812089467888,0.20992775415672854,0.2212772144077345,0.3738117459988247,0.3959946207247483,0.5306785578485257,0.5622433031657762,0.72173251754295,0.7710900301675572,0.9176604791040133,0.9494420819249082,134471699.99999994,943.014509546871,0.8729547959075257,0.06600015561734336,9.371629446786443,0.06600015561734755,0.03182931734249881,0.499147920927062,0.8867924528301887
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_2_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,26961,26886,2.963761859476934,4.302394948139246,0.5580895879529442,1.0200518641137273,1.8523064040487083,3.184347787315058,5.307886793742839,44.045011427837494,0.01249124147314282,11,0.0009507764115427726,62.23911164203152,0.011091977376033712,21,0.031700366722616925,20.213889031040335,0.004325510397505734,9,0.02204120820408875,15.424249114948083,0.0027528428468724542,14,-0.005391567390049039,154.30628868434036,0.000962732437818971,12,-0.08377158540096158,421.9924786913959,0.0002830018765531878,5,-0.8387082724741836,199.06160472077747,0.0006537272089440703,9,-0.18897098996347464,37.24375879096951,0.0014770157201551778,11,-0.04194179862797502,29.184337462533094,0.006293051394256728,12,-0.025673997748225787,0.3493935684878157,0.3489176523097523,0.572864507993027,0.5755039797664212,0.7470420236638107,0.7552629621364279,0.893957939245577,0.9175407275161794,0.9569748896554282,0.9806590790746114,192473999.9999999,987.5679157035149,0.8739448558847938,0.10253247191283474,12.911937190908903,0.10253247191284001,0.05467216332940714,0.6639439906651109,0.9658536585365853
001732L_20180124_2_1_2_csafe_jekruse.tiff,001732L_20180124_2_2_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,27058,22897,12.142879145724457,18.239188563619077,1.1588005097234806,2.4947641979700217,5.981161740530201,14.361124877210905,21.753404356966012,82.82606718948571,0.02091101633713589,15,0.06352602281490448,50.53065900890336,0.009736608535752892,14,0.012634679506855581,90.9044054676806,0.005705885739735927,14,0.07128990032330407,235.7231862066919,0.0037154825169330363,16,0.030870492754117865,293.54056660888705,0.0011962569895845375,13,-0.022837743518178414,619.4726452220802,0.00030911612371934023,6,-0.3632120882632381,407.84827493396216,0.0008215190092054511,9,-0.16768060694834272,288.8852127782769,0.0019313608572835525,12,0.03765787107385708,35.398971725054636,0.009432667944223634,10,0.08535619330950309,0.11759923128095202,0.13923221382713893,0.21361519698425604,0.2481547801021968,0.3141769532116195,0.3552867187841202,0.45990095350728066,0.5116390793553741,0.6416586591765836,0.7374765253089924,105990749.99999997,816.7577155105524,0.8885814032021787,0.059294146088531695,9.796662992664663,0.0592941460885316,0.018457266527828822,0.30583965687891784,0.8817733990147784
001351R_20180124_2_2_1_csafe_jekruse.tiff,001351R_20180124_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,25382,21625,3.4384671171428067,6.106914211334295,0.6268124941939297,1.187903408448272,2.1851052468793126,3.6198455359372272,5.768871907697548,37.10548594677703,0.008687013789742374,9,0.02360119704852623,41.56651742032916,0.008109949058512136,9,0.018235573035501978,21.98959929384967,0.004571684169938903,10,0.009693038411155576,41.8334101563235,0.003193341942626827,12,-0.01851074866163337,146.68631208753703,0.0010045560639903256,13,-0.08678438546779649,483.2257893901891,0.0003001616143800821,5,-0.03002433662768021,245.8504179390218,0.0007248334750284984,9,-0.06673196404200815,128.36847841033025,0.0017278203412705506,9,-0.0695406897360907,30.872054114881134,0.006296326699755378,8,0.009467772826996351,0.28252304782917026,0.32184971098265897,0.492790166259554,0.5440462427745665,0.680679221495548,0.7415953757225433,0.8758175084705697,0.9258265895953757,0.9585139074934993,0.9799306358381503,165098474.99999994,716.6950572069386,0.9070775899403983,0.1028525514760355,17.597498087163757,0.10285255147603206,0.04863249007272565,0.6368957294602211,0.8979591836734694
001732L_20180124_2_2_1_csafe_jekruse.tiff,001732L_20180124_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,toe,22122,17861,4.210279440806789,6.648780748860437,0.759234450641483,1.4208152944664192,2.6641272333907464,4.499053634914013,7.530453514086231,69.48011424673628,0.008329196831545364,11,0.05396188334805748,32.763808748740615,0.009434639740560732,11,-0.0015200257733334257,17.400449153096925,0.006267115021796,5,0.06871754499047472,18.558856798170154,0.003713792378449172,11,0.059674250853864935,172.3419623656821,0.001203722048079358,10,-0.01751410393252016,527.4659629763315,0.0003384184118477083,6,0.09959905987496352,259.5098240249469,0.0009076724791253266,9,0.007603496066964179,60.30914237728941,0.0022038636570700576,13,0.05867288387469355,37.34769959700316,0.008704312560968656,12,0.043980500121273525,0.22583853177832022,0.27355691170707125,0.4026308652020613,0.4762331336431331,0.5809149263176928,0.6709590728402665,0.8070246813127203,0.8860646100442304,0.9331886809510894,0.9772129220088461,122832224.99999997,682.2963621835944,0.9074407525915182,0.08982556515014711,16.50205008969655,0.08982556515015429,0.03602903058579575,0.6021245774987929,0.9214659685863874
001351R_20180124_2_2_2_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,toe,22334,27495,2.1639115827823736,2.6631954005215586,0.4897697634557996,0.9111853395488859,1.5764043069881115,2.6474848034517873,4.073812878890606,42.774609630484534,0.014689049291974314,5,-0.11165157471879453,51.05628214652756,0.00769533690064478,10,-0.11293860220119435,33.95826880889913,0.005158282760538533,12,-0.14472136608024488,14.564971487120056,0.003190535880971485,8,-0.23111474198482598,72.178005513102,0.0010588472887569727,11,-0.5785258316505885,396.5342901387875,0.0003562271949179942,6,-2.6125659107622297,89.6160799137676,0.0008021169634492952,11,-0.7957624046304423,17.115869880221084,0.0017545563078976642,18,-0.39234262010036197,42.91370152297157,0.008675056755555447,10,-0.10840235084566602,0.4154204352108892,0.33853427895981086,0.6486522790364466,0.5426804873613384,0.8196471747112026,0.7040916530278233,0.9438524223157517,0.8503727950536462,0.9876421599355243,0.9278414257137662,184670999.99999997,829.4411069795315,0.8930045045803867,0.10823182537154634,16.00780029745882,0.10823182537154843,0.060420967501649395,0.6435376967688484,0.949748743718593
002898R_20180124_2_2_2_csafe_boekhoff.tiff,002898R_20180124_2_1_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,toe,36876,39120,5.242178458073208,6.4781936907673145,0.9107901842346291,1.8148741545503597,3.5381310051981747,6.23187904228986,10.313043340503846,38.233289024092514,0.016089321031383243,7,0.004726286786962419,58.75279078843921,0.009174231994354916,16,-0.056453610079284997,45.687497123989466,0.005000067687606659,27,-0.02222465813482595,33.99085227879962,0.002688736616531305,16,-0.04095932901869188,101.70635566429058,0.0009098841278414514,18,-0.19280892077170445,407.86155444142605,0.00021894515656274393,7,-1.562724995867227,185.0647024590854,0.0005032162843563766,12,-0.4644975269899611,84.8868990145739,0.001121828019039806,20,-0.15462127645030715,72.62104696477117,0.005741655743914231,45,-0.02432007331643772,0.16669378457533354,0.1582310838445808,0.2993274758650613,0.2900562372188139,0.4407473695628593,0.43080265848670757,0.6702191127020284,0.649079754601227,0.8962468814405034,0.8810071574642127,134081549.99999997,1263.739048074895,0.8017274300066086,0.04447831703204427,5.2862034354686225,0.04447831703204369,0.02319913827925138,0.4965738284703802,0.9503105590062112
002898R_20180124_2_1_1_csafe_boekhoff.tiff,002898R_20180124_2_2_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,toe,39247,34050,3.4199908115001993,4.647293775749556,0.6106869858262001,1.139754021553125,2.161488827681246,3.629960143584423,6.517843252683419,46.01324447644733,0.010217791310360701,7,-0.041612134747345146,46.18964570830399,0.008188937295385966,9,0.001703625314528793,46.657021919120425,0.003975214191874089,17,0.02492652380410941,39.03022770221572,0.002496552970862456,36,0.0043335560436933976,128.6341244008861,0.000901768262524228,16,-0.08004102181572076,429.4282791989346,0.000185639040645313,5,-0.235001610984557,273.9355823443419,0.00045268180600750415,9,-0.24673335165233443,95.26318889905492,0.0010405115834338319,16,-0.06314021984453556,49.07019533230283,0.0049837625528719644,19,0.015563408930770769,0.28784365684001323,0.3238472834067548,0.4916044538436059,0.5422613803230544,0.6746248120875481,0.7261380323054332,0.8582312023848957,0.8830249632892805,0.9411929574234973,0.9376505139500734,233634825.0,1235.3867060370283,0.8163286452939615,0.08871586780295096,9.355883370080532,0.08871586780295067,0.05127506382490462,0.6178481468154012,0.9207317073170732
002898R_20180124_2_2_1_csafe_boekhoff.tiff,002898R_20180124_2_1_2_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,toe,34277,40876,2.7022740527024016,3.276574021957813,0.616332815366877,1.059572836305793,1.9313582910272635,3.2111778454002913,4.99580915472973,32.77848322267834,0.007888065517744043,7,-0.03132001910450071,57.00807480407236,0.007671990574858517,21,-0.04720686327531674,29.51367365357188,0.00394164183648425,25,-0.12549268585744108,27.27795103937871,0.002392423366813253,21,-0.11414906925791718,70.14784496829469,0.0008413800656541328,17,-0.2854766879871098,322.2631722205893,0.00023191650271914746,7,-2.403191020495855,104.51959025647064,0.0005217724930129107,10,-0.5862656197635084,61.83735919580006,0.001080472406011793,19,-0.21978721927381176,61.21749113442683,0.007085314607258423,35,-0.08110956501289066,0.3191061061353094,0.27130834719639885,0.5457595472182513,0.47061845581759465,0.7303439624237827,0.648179861043155,0.9054468010619365,0.8349642822193952,0.9728389298946816,0.9329924650161464,227197349.9999999,1496.3312333053345,0.7750937574654798,0.0817493657847774,7.387249708834496,0.08174936578477682,0.04194165603682547,0.6218059891316915,0.9634146341463414
002054L_20180124_2_1_1_csafe_boekhoff.tiff,002054L_20180124_2_2_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,toe,46834,35071,4.287824326395545,8.92221220974635,0.6696982508140524,1.133401570652033,2.1229869648159094,3.684340321821348,6.801784431843918,33.70020115533453,0.013081912090152522,8,0.08639580017497177,53.17137212809294,0.006471974848452633,20,0.09507971816276396,43.88835377699235,0.003807492614199343,26,0.06815299723108938,26.369929537230018,0.0027514629966235112,20,0.050517314192187926,147.70479749892635,0.0008298206175214961,17,0.04281543997754646,436.4893534230657,0.00015134286739525662,7,0.3838942533347237,276.4961614892848,0.0003973473058248338,10,-0.013445937465303521,146.7221107691657,0.0008690960378153465,15,0.03847277219638298,42.26984843548942,0.004035970864752535,17,0.07809414123980368,0.28554041935346114,0.3649453964814234,0.4960712303027715,0.6042884434433007,0.6718836742537473,0.7833822816572097,0.8498953751548021,0.9411764705882353,0.9321219626766879,0.9910752473553648,339625574.9999999,1332.1942125824196,0.8128318557146705,0.11864780416684358,11.09124701112205,0.11864780416684165,0.045133217639853,0.6758119357486223,0.9371069182389937
