q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,kurtosis,centroid_distance_n_clusters_10,cluster_proprtion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proprtion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proprtion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_70,cluster_proprtion_n_clusters_70,iterations_k_n_clusters_70,wcv_ratio_n_clusters_70,centroid_distance_n_clusters_100,cluster_proprtion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10
001732L_20180124_2_1_1_csafe_jekruse.tiff,063912L_20180214_2_1_2_csafe_jekruse.tiff,1,63,FALSE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,50977,49710,5.489868335071142,7.034357602192694,0.8553499321009118,1.7105059954872446,3.426472074672952,6.345192918858194,11.697933173151274,49.527862184096016,87.86113199822685,0.00951139143513298,13,-0.05189188363628504,92.39674707666413,0.00783911249184779,11,-0.00346910317882817,40.81303654472651,0.00527980614408159,7,-0.04579990370603774,24.039287439629177,0.00449093167462317,7,-0.11594064504754442,241.9051105511624,0.00365761749466423,7,-0.03126013776603684,0.1838868509327736,0.184047475357071,0.319595111520882,0.3151277408972038,0.4627184808835358,0.4511365922349628,0.6734213468819271,0.6544357272178636,0.8779057221884379,0.8811707905853953
133942L_20180221_2_2_1_csafe_tpashek.tiff,004888L_20180124_2_2_1_csafe_boekhoff.tiff,133,4,FALSE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,40955,44059,5.903734431931766,13.865020483193028,0.8176390072792896,1.5792588932763174,3.0415435844056304,5.315104006447951,9.39864390340922,50.91666193497479,103.96635872296032,0.02061494006297811,16,0.02203354468299069,61.518665690748094,0.01207516266543176,9,0.00729900199792062,62.492289100967575,0.00578790394059939,17,-0.062138684987405,41.3618228791165,0.00473275885274917,12,-0.09019380375413397,188.63034255621577,0.00355604802883903,14,-0.1363267993955045,0.19816872176779393,0.18302730429651148,0.3526797704797949,0.32569963004153524,0.5145403491637163,0.47558955037563266,0.7393236479062385,0.6832883179373114,0.909608106458308,0.8607775936812002
020574R_20180124_2_2_2_csafe_tpashek.tiff,023244R_20180124_2_2_1_csafe_boekhoff.tiff,20,23,FALSE,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,full,33796,44453,6.275836638180804,16.663798300268294,0.7494007548641941,1.45939553230796,3.019353692116291,5.740466447736413,9.911430821909653,74.11903548765717,193.63318993692937,0.02777329510287964,14,0.04376203054677267,75.17846350382786,0.01738824522260159,18,-0.04340398517083801,108.10202899630372,0.00785209046039036,36,-0.23283931358510365,197.5996270836224,0.00667845675436174,16,-0.4330379114471989,274.86027919116833,0.00548453499821727,12,-0.5765135314645964,0.22076577109717127,0.16981980968663532,0.3727660078115753,0.29082401637684746,0.5178719375073974,0.4152475648437676,0.7115634986388921,0.5842800260949768,0.9037460054444312,0.7374980316289115
107599L_20180214_2_1_2_csafe_tpashek.tiff,119777L_20180214_2_1_1_csafe_hanrahan.tiff,107,119,FALSE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,50123,46379,6.533059046111513,10.781166207402002,0.8742868182263938,1.7127478216063543,3.316033047554366,6.3278775830002765,14.013010646377143,37.102358143662954,87.33690472681275,0.02088106830147011,14,0.02636281205052734,81.2017245470187,0.01066940744103831,19,0.03275547032452845,36.748267679445824,0.00641658235355459,9,-0.04677078068750536,44.434520316592035,0.00483423819447186,19,-0.03682902529696093,26.458999808202144,0.00379163944009797,9,-0.01218010212836252,0.18065558725535183,0.1910131740658488,0.3214292839614548,0.3421591668643136,0.4767871037248369,0.4988680221652041,0.6830596732039184,0.7194851117962872,0.8528819105001696,0.9049785463248452
156625R_20180221_2_2_1_csafe_dtmartin.tiff,016098R_20180124_2_1_2_csafe_jekruse.tiff,156,16,FALSE,Adidas/Seeley,Adidas/Seeley,10 M,10 M,R,R,full,75841,95249,3.613670692997065,6.253230051789726,0.6849917057565531,1.2144607215093275,2.314900745822277,4.088411915210233,6.633771938849101,131.48596226374164,123.57718012018974,0.02379942115984806,14,-0.11454057670673846,95.64826567993892,0.01103529030280425,21,-0.06666269205861179,82.28748820508436,0.00640280950952363,14,-0.08614285215522988,93.31153294868044,0.00425265566428524,40,-0.1099295489173056,90.43686865733596,0.00322103980992864,31,-0.17565298726374604,0.26719056974459726,0.2117502545958488,0.45969857992378793,0.3701561171245892,0.6326657085217758,0.5132967275246985,0.8284569032581321,0.6836922172411259,0.96313339750267,0.8169324612331887
081247R_20180131_2_1_2_csafe_hanrahan.tiff,098406R_20180214_2_2_1_csafe_hanrahan.tiff,81,98,FALSE,Nike/Winflo 4,Nike/Winflo 4,8 W,8 W,R,R,full,49467,43939,7.419451270931564,17.65321958516118,0.7756605485831335,1.5037577696828175,2.969203943216282,5.590436592214125,11.226736467305448,59.73998648708123,129.88596491081023,0.02393177063272132,20,0.00436327843453179,42.0868692232504,0.00983171222686597,9,-0.02182858825737118,40.85664614947824,0.00448714287595848,13,4.083012457717e-4,217.361668119351,0.00375147328628624,10,-0.006814008854196,209.55905875187085,0.00321847156604268,13,0.03949033037537469,0.2096347059655932,0.23136621224879947,0.36933713384680694,0.4032863742916315,0.5186083651727414,0.561141582648672,0.7213900175874826,0.7813104531282005,0.8859037338023329,0.943945014679442
120425R_20180214_2_2_1_csafe_hanrahan.tiff,116291R_20180214_2_2_1_csafe_hanrahan.tiff,120,116,FALSE,Adidas/Seeley,Adidas/Seeley,7.5 W,7.5 W,R,R,full,74239,58297,6.568046539610004,11.878479206247077,0.6525653820930482,1.1737030001925637,2.340955911761837,5.0679387811784355,19.114491956539155,25.934627263119776,250.4711278062502,0.02061069549749552,37,0.04500853151678703,54.78358051908191,0.01144104924909409,10,0.02402076098691441,41.27270334478212,0.00574382129206284,16,-0.01360675703868619,53.03382087439505,0.00468473368516208,22,0.02973211823628772,43.65979417096811,0.00339850171433195,22,0.00470592063933332,0.27943533722167596,0.35017239309055354,0.46101105887740945,0.5741461824793729,0.6051536254529291,0.7400209273204453,0.7516399735987823,0.897233133780469,0.8433842050674174,0.9663962124980702
112033R_20180214_2_2_1_csafe_jekruse.tiff,102420R_20180214_2_2_2_csafe_jekruse.tiff,112,102,FALSE,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,43187,42508,6.615201932961594,14.391538573429692,0.8810685846386489,1.745919761190719,3.509056284056587,6.292909227734855,10.645162439860362,56.097796508296355,70.56407625215276,0.01406665030695047,11,0.03487083570146973,97.36234453628016,0.00998401251674679,27,0.03195605657483752,63.26091078686334,0.00427137175634391,17,-0.01587945545070951,37.063912455970616,0.0039536477623668,8,-0.02059571845819195,164.98198326995,0.00356315743922668,8,-0.02298975579227891,0.17570102114062103,0.1773548508516044,0.30807882001528236,0.3116119318716477,0.4499039062680899,0.45537310623882565,0.66733044666219,0.6758727768890562,0.8911709542223354,0.8933612496471253
079309R_20180207_2_2_2_csafe_jekruse.tiff,077778R_20180207_2_2_2_csafe_jekruse.tiff,79,77,FALSE,Adidas/Seeley,Adidas/Seeley,10.5 M,10.5 M,R,R,full,74200,76421,5.982729855467466,13.236918225745136,0.7247758690462432,1.2979535857034556,2.475050392108651,4.256565448031732,9.416710261485711,27.29485763951064,134.84570341189882,0.01502766126558422,20,-0.02050896900796841,132.414070065418,0.01050312129347633,42,-0.00601432256287326,87.22566208428219,0.00502113040784438,23,0.01115715308539938,71.24889837440568,0.00359021265050956,22,-0.02378469220598071,56.564214974362685,0.00328288205576295,22,-0.01948585532482067,0.24412398921832884,0.2348699964669397,0.4290970350404313,0.41194174376153153,0.6101482479784367,0.5921147328613863,0.8075876010781671,0.7930280943719659,0.9040835579514824,0.905641119587548
013046L_20180124_2_2_2_csafe_tpashek.tiff,066782L_20180214_2_2_2_csafe_hanrahan.tiff,13,66,FALSE,Nike/Winflo 4,Nike/Winflo 4,8.5 W,8.5 W,L,L,full,38387,44811,5.748749633304062,11.616647759925616,0.8324007534361016,1.615883729973004,3.2696549414236187,6.453224923244695,11.534744076128694,185.865030147964,74.58445919909374,0.02481410450513466,13,-0.08374455326568257,45.314867168440344,0.01299749266849841,7,-0.18513343314707037,166.82634095599585,0.00634209500156605,11,-0.1873156825261248,142.38355791839484,0.00521623308827451,20,-0.2378721657960535,148.32852854333507,0.00402416357876364,17,-0.1885148839511825,0.19381561466121344,0.1668340362857334,0.34087060723682494,0.29546316752583074,0.4833928152760049,0.4267032648233693,0.6740563211503895,0.6160094619624645,0.8732904368666475,0.8050255517618442
