q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,centroid_distance_n_clusters_10,cluster_proportion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proportion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proportion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_100,cluster_proportion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,centroid_distance_n_clusters_500,cluster_proportion_n_clusters_500,iterations_k_n_clusters_500,wcv_ratio_n_clusters_500,centroid_distance_n_clusters_1000,cluster_proportion_n_clusters_1000,iterations_k_n_clusters_1000,wcv_ratio_n_clusters_1000,centroid_distance_n_points_per_cluster_10,cluster_proportion_n_points_per_cluster_10,iterations_k_n_points_per_cluster_10,wcv_ratio_n_points_per_cluster_10,centroid_distance_n_points_per_cluster_30,cluster_proportion_n_points_per_cluster_30,iterations_k_n_points_per_cluster_30,wcv_ratio_n_points_per_cluster_30,centroid_distance_n_points_per_cluster_100,cluster_proportion_n_points_per_cluster_100,iterations_k_n_points_per_cluster_100,wcv_ratio_n_points_per_cluster_100,centroid_distance_n_points_per_cluster_1000,cluster_proportion_n_points_per_cluster_1000,iterations_k_n_points_per_cluster_1000,wcv_ratio_n_points_per_cluster_1000,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10,peak_value,MSE,SSIM,NCC,PSR,correlation_coefficient,jaccard_index_0,jaccard_index_-1,jaccard_index_-2
011_04_R_03.tiff,011_04_R_05.tiff,60,60,TRUE,NA,NA,10,10,R,R,full,25485,25465,8.73933859083534,17.66675608521915,0.972456199469547,1.8417671844341712,3.983302871935459,9.726697117970298,19.28300138712668,96.87779154679508,0.02978319094336132,9,0.01446260106063016,101.24422316457928,0.0095442274244462,17,-0.10544085671349832,110.2471266597656,0.00696997012299594,25,-0.13007123241466098,79.67395217840802,0.00463484536862925,9,-0.1924657287669776,450.8364922770391,0.00133589059530032,11,-0.3647928112707696,741.9402277619333,8.0141942624964e-4,12,-0.8045284538040406,1061.9481129989165,3.3051590112915e-4,6,-1.5466631363148298,731.8549796916755,0.00090649266251342005,10,-0.7529952280872003,304.5111307797229,0.00227518246878637,17,-0.3420306877298118,65.76944190827886,0.01224241415746422,9,-0.11305537678432176,0.15848538355895625,0.1562929511093658,0.29028840494408475,0.28733555860985666,0.4161271336080047,0.41539367759670137,0.5800274671375318,0.5915177694875319,0.7576613694329998,0.765050068721775,82581749.99999997,494.88289944152257,0.9089509025812352,0.04603315040056489,12.447911229036981,0.04603315040056622,0.02141095808023095,0.35235323886639675,0.8032258064516129
009_10_R_02.tiff,009_10_R_04.tiff,51,51,TRUE,NA,NA,10,10,R,R,full,40112,40399,2.6264993795522553,5.09812320297987,0.4970246634872806,0.8659019554017663,1.4749866340644444,2.6323379567958627,4.61670687855555,38.23054209533195,0.00451106082068552,8,-0.0470638417570008,20.281726094231725,0.00463899049845086,5,-0.02051540819599364,38.523600112810286,0.0028997774991862,21,-0.03835872525617605,41.18829121673962,0.0018705786088366,17,-0.00949017100222638,64.08681086615799,7.4839256774495e-4,14,-0.07660074579868245,218.3330739143574,4.9794605729905e-4,9,-0.1919189534687436,691.2085005403765,1.8875045884197e-4,5,-0.7395847587333385,332.46085891561415,4.1419632477222e-4,9,-0.2660652232155567,50.82749548720689,8.3926624331901e-4,11,-0.08127314818350369,38.80384112725314,0.00328889973786948,10,-0.03544697134958129,0.4196250498603909,0.4166934825119434,0.6571100917431193,0.6562786207579395,0.8018049461507778,0.8014802346592738,0.9136667331471878,0.9134879576227134,0.9685380933386518,0.9703705537265774,335528999.99999994,659.821977928565,0.8895991324604219,0.12308038359937376,22.02644181025047,0.12308038359936338,0.06848042468480425,0.6621813702264758,0.8782287822878229
026_12_L_01.tiff,026_12_L_04.tiff,148,148,TRUE,NA,NA,8,8,L,L,full,30923,30089,3.98133601284556,10.695797318432534,0.6457220286804124,1.1816391122144672,2.274252835389965,4.110886677743281,7.127396094948171,29.290732229703753,0.00655865140928063,7,0.0401150236936055,58.216293780797685,0.00694292247765881,8,0.01230975138438013,59.07762003935085,0.00410125137874006,22,-0.01410674835140537,62.226006822722894,0.00232290752274551,15,-0.04845488562175388,299.12650436912486,9.3207163678096e-4,14,-0.17114485058928627,372.6157033545662,6.0697834597788e-4,10,-0.30267937488935265,742.3716520293722,2.5087741673435e-4,5,-0.7589134844942604,401.82974738607066,5.8881169032119e-4,10,-0.3059147449397648,121.2395046456195,0.00128819485233171,11,-0.1372598321673027,73.44675714462689,0.00847035089636731,27,-0.01028764961146158,0.27830417488600717,0.28279437668250856,0.46635190634802576,0.4698727109574928,0.6324418717459496,0.6341187809498487,0.8190343757074022,0.8146831067832098,0.947417779646218,0.9421715577121208,164318174.99999997,585.2425729673384,0.8923359004233901,0.0783331032339205,16.887909483962552,0.07833310323391475,0.04321357114763069,0.5746738641475484,0.8461538461538461
020_16_L_04.tiff,020_16_L_05.tiff,113,113,TRUE,NA,NA,9,9,L,L,full,65035,65788,2.3950299831056876,3.5008625737987016,0.5559165136363401,0.977959643016108,1.708675340613319,2.8943041299017285,4.527253817106132,35.587261414251266,0.00565931879152544,7,-0.01577574426335694,43.429593431600175,0.0048743354580307,18,-0.00290098143071403,38.56722440160221,0.00236161304518788,20,0.01086360178744954,38.13030395168166,0.00168099848022221,26,0.00610242247240876,80.93196106587513,6.1647059899376e-4,16,-0.06060692357617864,87.88489477111732,3.9240470384632e-4,12,-0.11310946713828668,709.5021071293679,1.1483059813777e-4,6,-0.7449104671890285,286.97293228249526,2.5317932134757e-4,12,-0.23078163388207185,71.13865416165834,5.1035886204909e-4,15,-0.07545654596815575,37.1976829308107,0.00240383942938688,18,0.01246418290678742,0.3561159375720766,0.3526478993129446,0.5951257015453217,0.5913844470116131,0.7725071115553164,0.7653979449139661,0.9239025140309064,0.9174773514926734,0.9874375336357346,0.984024442147504,442430100.00000006,1258.8040620220593,0.7646625030897426,0.09423918478942483,9.629203746384864,0.09423918478943132,0.05486477333204315,0.6709153518014083,0.9532967032967034
009_08_L_03.tiff,009_08_L_05.tiff,49,49,TRUE,NA,NA,10,10,L,L,full,50720,48857,4.265892070801179,9.42386249553915,0.7105852448526453,1.2565044820696651,2.315729272462619,3.8993973066860392,6.504011142782441,32.163813101957295,0.01424418901084216,3,-0.01052796874513954,35.849153186950176,0.00928772365192387,8,-0.02154100352474293,92.0765656588625,0.00591284372544941,19,-3.5786974780808e-4,53.42520606899527,0.00278420042581117,12,-0.00902712405057133,414.9303277984655,8.6994932900602e-4,16,-0.09231739863054474,496.62922170127007,5.2083656569338e-4,10,-0.1938107620022185,757.570823587516,1.5006551737092e-4,6,-0.6799761392349597,500.6956902323304,3.6659403555855e-4,9,-0.36950464359859014,432.4342068395802,8.5504147917683e-4,16,-0.09737003441096252,92.0765656588625,0.00591284372544941,19,-3.5786974780808e-4,0.25053233438485806,0.25818204146795753,0.4630126182965299,0.4724195099985672,0.645839905362776,0.6542562989950264,0.8458793375394322,0.8559469472132959,0.9451301261829652,0.9533536647767976,262635974.9999999,929.4408215390384,0.838257938881905,0.07393601889905728,10.433806485017206,0.07393601889906173,0.03613793390493632,0.5713248638838475,0.8579387186629527
005_02_R_01.tiff,005_02_R_05.tiff,16,16,TRUE,NA,NA,5.5,5.5,R,R,full,16903,18560,6.037667097619193,22.05893211550188,0.6393471920353465,1.179166620936722,2.2701093286865817,4.265935989443596,8.178083233091243,39.062773581575506,0.011337414819188,6,-0.03636764994540863,38.43579811040643,0.00851824051568011,11,-0.09363357950086904,69.35337969205239,0.00474610630676864,15,-0.16356079416248356,59.67517396939309,0.00361365448592515,17,-0.1610685102362759,379.4250411155285,0.00122158510528042,9,-0.5874866327026328,622.3909034325284,7.6359600755478e-4,7,-0.8914747169321752,716.4384312062613,4.7524860288325e-4,6,-1.4610937235222812,440.7328169401091,0.00110949298562835,9,-0.5541431240385988,59.0277921595623,0.00231304027909345,16,-0.1833925212008467,82.6092656247972,0.01402772959051258,16,-0.06598152583970451,0.28154765426255696,0.2526939655172414,0.46867419984618114,0.4247844827586207,0.6298290244335325,0.577478448275862,0.8034668402058807,0.7636314655172414,0.924569603029048,0.8979525862068966,100788749.99999994,310.75402119986626,0.9361560077010465,0.08524773747676198,33.50059304162889,0.0852477374767719,0.04122801858495559,0.46901935274028295,0.8148148148148148
014_01_L_02.tiff,014_01_L_04.tiff,77,77,TRUE,NA,NA,8,8,L,L,full,35744,36159,3.799150319878938,8.22356801140098,0.6857587320127451,1.2695116823475483,2.383552433171041,4.121428063491589,6.572266716404589,71.18121114642419,0.01001887723412475,12,-0.00165831620230168,77.52316205940947,0.0068037276440554,22,0.01011599660421279,51.54570452622809,0.00363367009871431,24,-0.06293524908187215,41.37438889259376,0.00241562540387246,20,-0.09514615402944045,64.42669718444296,9.4700244453143e-4,12,-0.19064925205667,230.56922070984055,5.8805444404649e-4,10,-0.3746548779665156,599.8403091961735,2.2108656986442e-4,5,-1.270702759616761,272.9259566445573,5.2068783509442e-4,9,-0.4241679241905611,26.877330397743993,0.00109978344285822,12,-0.1764608374142863,49.722380521250734,0.00426500400533096,13,-0.02026790700475659,0.25553939122649955,0.2504770596531984,0.4500335720680394,0.44152216598910365,0.6229297224709042,0.6114107137918637,0.8326712175470009,0.817251583284936,0.955405102954342,0.932879780967394,182525175.0000001,672.4619700147052,0.886156035973959,0.07287885097458495,13.921208876762176,0.07287885097458527,0.03933103986586106,0.527,0.8731117824773413
025_05_L_01.tiff,025_05_L_03.tiff,133,133,TRUE,NA,NA,7.5,7.5,L,L,full,62439,62573,2.425138834612956,4.057308016114664,0.5151258077506854,0.9111586494515166,1.6073062889469252,2.726633662448211,4.332124705427594,46.70907511538638,0.01453011470399895,11,0.007279141046836,35.49339639606367,0.00600695401887997,11,-0.0381659021584969,30.464792534754036,0.00358921850685052,13,3.4357067905037e-4,24.766632154362966,0.00237586593190937,10,-0.01984935404302398,120.31404408631596,7.6868804099444e-4,12,-0.10972048449415218,166.43895833020036,4.6276104006673e-4,13,-0.16087622019589276,643.4225652986856,1.2289658469037e-4,5,-0.8945921788870479,317.83103487153005,2.9100314532474e-4,10,-0.3144580641008002,149.7876267313249,6.6726335073366e-4,13,-0.11420094236218269,29.714335781484703,0.00328960346856284,23,-0.00862397622692966,0.39496148240682905,0.3925335208476499,0.6325373564599048,0.6294727757978681,0.7993721872547607,0.7967334153708469,0.9253991896090584,0.9269013791891072,0.973686317846218,0.977178655330574,491198849.9999999,1163.0530822948892,0.8473174808241869,0.1118174429232109,11.880326809085044,0.11181744292320583,0.06431234994636381,0.7052745604532955,0.9123376623376624
025_08_R_01.tiff,025_08_R_03.tiff,136,136,TRUE,NA,NA,6,6,R,R,full,19303,18252,5.732314876831879,11.340958262988066,0.7915999042493878,1.5089829780475428,2.746254699474411,4.476140809723254,9.22819025801081,63.10398441553797,0.01639542623816948,9,-0.03917655325983571,73.2976084590408,0.01081155074707614,13,-0.00802996454082112,53.85483542805965,0.00612131102131541,18,-0.04443773029402341,143.69082811659592,0.00384988309768273,11,-0.06043795071863847,521.5008045234536,0.00121028051880206,10,-0.259002362503614,653.7731236500305,7.2962757813725e-4,7,-0.5160029030607212,767.2997083558812,4.0285314750307e-4,4,-0.7208876202889084,548.3001454872729,0.00102795140919994,13,-0.3472237711618951,206.1118834615692,0.00260251396680179,11,-0.07690463588570287,73.78170950344733,0.01087159271841611,11,-0.0037065358967931,0.2042687665129773,0.2146066184527723,0.3791638605398125,0.3995178610563226,0.5659742009014143,0.5948937102783257,0.8066621768636999,0.8354700854700855,0.9048334455784076,0.9344181459566075,120101175,373.3189924407454,0.9415120010355572,0.09552256850941374,30.919444322111904,0.09552256850940964,0.03051340449469033,0.5131004366812227,0.8838028169014085
012_09_R_02.tiff,012_09_R_04.tiff,72,72,TRUE,NA,NA,7,7,R,R,full,62086,58868,4.760432245145027,8.516279361203873,0.828674634460028,1.516631098871684,2.782736808931933,4.580309104182394,8.48495502560261,67.40957452557218,0.0137421132527427,18,0.01759118332466571,53.51897859037051,0.00814320954523183,12,6.5927177585587e-4,47.58868721372649,0.00410123832577714,19,-0.02254996831847577,45.582109344190435,0.00227949951385666,24,-0.04407101244221025,161.74582198358524,8.4177614917749e-4,16,-0.06488973636916841,524.0864371273801,5.1897174431976e-4,14,-0.14584135296876713,859.2153975921142,1.2661909785145e-4,5,-0.8293386501457621,549.2105362390746,2.9856583950962e-4,12,-0.2952094382828032,319.33173170297357,6.9711179455337e-4,18,-0.08108032673826107,43.673118571896275,0.00309033507473313,16,-0.0230653531542924,0.1991431240537319,0.20957056465312224,0.3717263151112972,0.3887341170075423,0.5549721354250555,0.5754909288577835,0.7921109428856747,0.8196813209213835,0.9147472860226138,0.9358225181762588,233179649.99999988,1181.7939252336448,0.8196788498381015,0.05015367721479972,6.143518367000327,0.05015367721479076,0.02786938192697355,0.6270299391980297,0.846441947565543
