q_file_name,k_file_name,q_number,k_number,mated,q_model,k_model,q_size,k_size,q_foot,k_foot,partial_type,q_points_count,k_points_count,mean,std,0.1,0.25,0.5,0.75,0.9,kurtosis,centroid_distance_n_clusters_10,cluster_proprtion_n_clusters_10,iterations_k_n_clusters_10,wcv_ratio_n_clusters_10,centroid_distance_n_clusters_20,cluster_proprtion_n_clusters_20,iterations_k_n_clusters_20,wcv_ratio_n_clusters_20,centroid_distance_n_clusters_50,cluster_proprtion_n_clusters_50,iterations_k_n_clusters_50,wcv_ratio_n_clusters_50,centroid_distance_n_clusters_70,cluster_proprtion_n_clusters_70,iterations_k_n_clusters_70,wcv_ratio_n_clusters_70,centroid_distance_n_clusters_100,cluster_proprtion_n_clusters_100,iterations_k_n_clusters_100,wcv_ratio_n_clusters_100,q_pct_threshold_1,k_pct_threshold_1,q_pct_threshold_2,k_pct_threshold_2,q_pct_threshold_3,k_pct_threshold_3,q_pct_threshold_5,k_pct_threshold_5,q_pct_threshold_10,k_pct_threshold_10
001732L_20180124_2_1_1_csafe_jekruse.tiff,001732L_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,50977,47526,3.151662022623567,4.393691084732515,0.6342922378815736,1.1562201092147162,2.1280796185300828,3.6245757054871035,5.897527767835843,83.3199875337357,34.45590314839252,0.008050961646275338,4,0.000522299304032785,39.161442951134134,0.005431374224495839,9,-0.00032316062040762015,30.328690806292023,0.0039771063043139415,12,-0.0011588368180902274,20.956740758863923,0.002827764418215038,7,-0.026096964534767727,31.683437535825835,0.002479996553661069,13,0.009338350722140143,0.29476038213311884,0.3133863569414636,0.4981658394962434,0.532171863821908,0.680954155795751,0.7194798636535791,0.869823645957981,0.9012330093001726,0.9622182552916021,0.9819467238984977
001351R_20180124_2_1_1_csafe_jekruse.tiff,001351R_20180124_2_2_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,50604,46263,4.405393437612183,11.404075810512515,0.6043020833054124,1.0894586928357115,2.0171272865326513,3.4784509866769215,6.010431920560802,57.90340029996489,43.76846355989136,0.016140581547068555,5,0.02738160509787126,63.54669266863926,0.008212455556691202,11,-0.007677776050052286,35.797282005591725,0.0046767176308331665,19,-0.004525390198353102,30.032995605713726,0.0035419851095897224,10,0.0291782028160065,20.4288316166389,0.0030182322115910026,7,0.048077011185627384,0.31687218401707373,0.34256317143289455,0.5269741522409296,0.5680349307221754,0.704489763655047,0.7520480729740829,0.8728954232866967,0.9215355683807794,0.9415461228361395,0.9842854981302552
001732L_20180124_2_1_2_csafe_jekruse.tiff,001732L_20180124_2_2_1_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,47526,40661,7.950240194056964,19.41817040129553,0.7689080779693684,1.4578148534852005,2.762436445097856,4.614202771635674,9.932290886521798,16.75375990690154,56.48668342670138,0.007772360263628171,6,0.007061254623348208,35.28842072779364,0.008062172958019549,4,0.03274466177734358,47.34567783423183,0.003925603845573963,16,0.02271893712627982,239.37879087088587,0.0036076762936780257,11,-0.005438923058209933,396.3417851445758,0.0029378606650944704,15,0.019005085233113856,0.21952194588225393,0.2527237401933056,0.38869250515507303,0.44760335456580014,0.5652484955603249,0.6437126484838052,0.7913563102301898,0.8767861095398539,0.9007911458990868,0.9835714812719806
001351R_20180124_2_2_1_csafe_jekruse.tiff,001351R_20180124_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,46263,44615,3.091688648454187,6.030147215315132,0.5901558257029516,1.0242997611667106,1.8565991035399914,3.3253216079579118,5.484477091464378,374.4200755519286,27.612594906311354,0.013068640607449639,7,0.012464031499826642,43.03501171137046,0.00723851454652835,7,0.03408870347041241,23.29974682412046,0.004115703466516085,7,-0.002727176451338332,34.69844557313091,0.003243788502372498,17,5.444868410037184e-06,18.94385586040694,0.0023403061997255806,8,-0.033175406353447595,0.3430170978968074,0.3590720609660428,0.5575297754144781,0.5867085061078112,0.7233642435639712,0.7639807239717584,0.884875602533342,0.925339011543203,0.9668849836802629,0.986170570435952
001732L_20180124_2_2_1_csafe_jekruse.tiff,001732L_20180124_2_2_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,L,L,full,40661,37117,4.6649043815672755,10.986178719744357,0.6323208568282481,1.1784347001723312,2.1999360655261664,3.874849669277214,7.278560889808274,61.095204361847664,43.34217770044155,0.013943273664076732,4,0.10204714260918064,54.25169683031062,0.006947388244357344,11,0.09429323793476933,39.77198157752325,0.004606268240060028,11,0.06327245412725624,183.8998225062767,0.003661924893885605,7,0.04683695471980037,166.65390396776243,0.003057552200258267,10,0.07809160180422017,0.28722854824032856,0.3124174906377132,0.4874449718403384,0.5277905003098311,0.6613954403482453,0.7122612280087292,0.8346572883106662,0.8985101166581351,0.9295393620422517,0.9807635315354151
001351R_20180124_2_2_2_csafe_jekruse.tiff,001351R_20180124_2_1_2_csafe_jekruse.tiff,1,1,True,Nike/Winflo 4,Nike/Winflo 4,10.5 M,10.5 M,R,R,full,44615,49317,2.3773941036670423,4.724237976801178,0.5566331015031744,0.9684585014481848,1.715523308081477,2.899594479591401,4.447261161493163,2812.667122497455,68.17054134428803,0.009485084219677241,11,-0.08008941377559846,77.51745623727855,0.007119462484810311,14,-0.07678110281651662,50.85834186245273,0.0038620033956793583,17,-0.08875766363553826,39.89915146833908,0.003293902800371149,17,-0.08752806057907747,40.32558149350081,0.0028703060363063104,7,-0.14267924397707335,0.36767903171579064,0.331123142121378,0.6025776084276588,0.5403613358476793,0.7785946430572678,0.6972646349129104,0.9271321304494005,0.8482267777845368,0.9868878179984311,0.9234341099418051
002898R_20180124_2_2_2_csafe_boekhoff.tiff,002898R_20180124_2_1_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,63896,73144,3.1806982346076635,6.16430570136618,0.6166337092274721,1.0356053286985056,1.8574341922182689,3.208723672194237,5.074083128541687,65.5143932375483,39.17295206620232,0.012657091488695048,6,-0.10709664531842465,49.13262177534712,0.008824531560391783,13,-0.06020932770337245,74.23063288347088,0.005781834485760546,51,-0.07931993958496132,45.28022742657469,0.0031179777621286628,20,-0.13274912799226574,44.547435681566164,0.0026495270064280144,28,-0.1424387169310423,0.32967634906723425,0.2894290714207591,0.5541191936897458,0.4935196325057421,0.7290127707524727,0.6551596850049218,0.9013709778389883,0.8259187356447556,0.9621729059722048,0.9158645958656896
002898R_20180124_2_1_1_csafe_boekhoff.tiff,002898R_20180124_2_2_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,73144,65090,3.7915802333868225,6.84513795053286,0.6309106889858351,1.070274615735359,2.0037067297702333,3.68413916134417,7.028033232012758,236.57821375691046,125.7244223566782,0.013746167131948928,22,0.07603164886434367,58.30302571189155,0.0060855624175439995,16,0.03711631087335503,50.90176028188268,0.004287234919232707,15,0.030250150867534215,57.27360309060285,0.003205205883294755,29,0.03048627591530364,41.30306669025087,0.002240892464163941,29,0.02339195783269031,0.3127392540741551,0.34788754032877556,0.518702832768238,0.5741281302811492,0.6824756644427431,0.753664157320633,0.8454692114185716,0.9112920571516362,0.9307393634474461,0.9632662467352896
002898R_20180124_2_2_1_csafe_boekhoff.tiff,002898R_20180124_2_1_2_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,R,R,full,65090,76616,2.5827402314365786,4.251812521205948,0.5712090286711397,0.9962180070812542,1.8075430502920302,3.1295336443265973,4.77157935773614,393.0809712298191,69.6788262987573,0.01214835610185434,16,-0.09905754714626556,74.34504303178808,0.0044378334684384195,19,-0.08126390119524737,43.41915929957758,0.003148417644603281,15,-0.08202268180489634,46.501081582611214,0.002492224059473714,22,-0.10933115882221771,37.99225485800445,0.0019487645882353929,20,-0.1367420160707002,0.34768781686895067,0.296609063381017,0.569488400675987,0.491437819776548,0.74541404209556,0.6518090216142842,0.9175756644645875,0.8256891510911559,0.9819327085573821,0.9183851936932234
002054L_20180124_2_1_1_csafe_boekhoff.tiff,002054L_20180124_2_2_1_csafe_boekhoff.tiff,2,2,True,Adidas/Seeley,Adidas/Seeley,7 W,7 W,L,L,full,81347,68892,5.286842485709425,12.175216118642236,0.6856769426904643,1.1547677431467789,2.2497602363438056,4.0258675422076635,8.696096593736504,123.86372505066232,73.58339087887727,0.01925310102429775,15,0.12547182176004282,61.9464467069957,0.009489302831323472,10,0.127519753820594,43.33673163554202,0.00465428620152188,14,0.05436088238031706,47.367454271416165,0.00397947097504756,22,0.06112854069034824,59.828202093114925,0.002866612247818051,33,0.08657643116523374,0.27226572584114966,0.31632119839749173,0.4748792211144849,0.539627242640655,0.6451252043713966,0.7287203158567033,0.8217389700910912,0.9202519886198688,0.9098921902467209,0.991276200429658
